code,iso,country,region,include,SEA,sids,ldc,lldc,arableague,asean,comwealth,eu27,g20,franco,oecd,oei,oic,opec,emmrkt
4,AFG,Afghanistan,Southern Asia,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
8,ALB,Albania,Eastern Europe,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
12,DZA,Algeria,Greater Middle East,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
20,AND,Andorra,Global West,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
24,AGO,Angola,Sub-Saharan Africa,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
660,AIA,Anguilla,Latin America & Caribbean,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
28,ATG,Antigua and Barbuda,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
32,ARG,Argentina,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
51,ARM,Armenia,Former Soviet States,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
533,ABW,Aruba,Latin America & Caribbean,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
36,AUS,Australia,Global West,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
40,AUT,Austria,Global West,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
31,AZE,Azerbaijan,Former Soviet States,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
44,BHS,Bahamas,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
48,BHR,Bahrain,Greater Middle East,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
50,BGD,Bangladesh,Southern Asia,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
52,BRB,Barbados,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
112,BLR,Belarus,Former Soviet States,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,BEL,Belgium,Global West,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
84,BLZ,Belize,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
204,BEN,Benin,Sub-Saharan Africa,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
60,BMU,Bermuda,Global West,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
64,BTN,Bhutan,Southern Asia,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
68,BOL,Bolivia,Latin America & Caribbean,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
70,BIH,Bosnia and Herzegovina,Eastern Europe,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,BWA,Botswana,Sub-Saharan Africa,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
76,BRA,Brazil,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
92,VGB,British Virgin Islands,Latin America & Caribbean,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
96,BRN,Brunei Darussalam,Asia-Pacific,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
100,BGR,Bulgaria,Eastern Europe,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
854,BFA,Burkina Faso,Sub-Saharan Africa,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False
108,BDI,Burundi,Sub-Saharan Africa,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False
132,CPV,Cabo Verde,Sub-Saharan Africa,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
116,KHM,Cambodia,Asia-Pacific,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
120,CMR,Cameroon,Sub-Saharan Africa,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
124,CAN,Canada,Global West,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False
136,CYM,Cayman Islands,Latin America & Caribbean,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
140,CAF,Central African Republic,Sub-Saharan Africa,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False
148,TCD,Chad,Sub-Saharan Africa,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False
152,CHL,Chile,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
156,CHN,China,Asia-Pacific,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
