"code","iso","country","BHV.raw.2005","BHV.raw.2010","BHV.raw.2015"
4,"AFG","Afghanistan",0.575452,0.577395,0.576619
8,"ALB","Albania",0.391044,0.402286,0.396498
12,"DZA","Algeria",0.754039,0.75296,0.753868
20,"AND","Andorra",0.560573,0.559742,0.563142
24,"AGO","Angola",0.674155,0.672435,0.672435
660,"AIA","Anguilla",0.28753,0.283696,0.273893
28,"ATG","Antigua and Barbuda",0.35881,0.351526,0.339933
32,"ARG","Argentina",0.577564,0.588872,0.589341
51,"ARM","Armenia",0.487247,0.484564,0.479735
533,"ABW","Aruba",0.404203,0.39705,0.399109
36,"AUS","Australia",0.729343,0.734294,0.734296
40,"AUT","Austria",0.549464,0.550713,0.546631
31,"AZE","Azerbaijan",0.452128,0.445207,0.444219
44,"BHS","Bahamas",0.630338,0.633715,0.623271
48,"BHR","Bahrain",0.694342,0.694235,0.696725
50,"BGD","Bangladesh",0.435868,0.435214,0.446633
52,"BRB","Barbados",0.400589,0.398754,0.391929
112,"BLR","Belarus",0.553608,0.554293,0.551189
56,"BEL","Belgium",0.444041,0.443364,0.438207
84,"BLZ","Belize",0.59713,0.583926,0.571547
204,"BEN","Benin",0.500231,0.502027,0.502027
60,"BMU","Bermuda",0.293519,0.292742,0.288412
64,"BTN","Bhutan",0.520246,0.519679,0.523266
68,"BOL","Bolivia",0.662773,0.661379,0.657698
70,"BIH","Bosnia and Herzegovina",0.489359,0.495204,0.490165
72,"BWA","Botswana",0.731765,0.725132,0.725132
76,"BRA","Brazil",0.636185,0.634035,0.631068
92,"VGB","British Virgin Islands",0.334799,0.332063,0.322293
96,"BRN","Brunei Darussalam",0.626384,0.616653,0.588388
100,"BGR","Bulgaria",0.455699,0.456376,0.44815
854,"BFA","Burkina Faso",0.529553,0.530238,0.530238
108,"BDI","Burundi",0.486543,0.485394,0.485394
132,"CPV","Cabo Verde",0.455833,0.451539,0.451539
116,"KHM","Cambodia",0.500816,0.508424,0.491074
120,"CMR","Cameroon",0.632158,0.631296,0.631295
124,"CAN","Canada",0.822702,0.822261,0.823592
136,"CYM","Cayman Islands",0.439008,0.436858,0.431249
140,"CAF","Central African Republic",0.661288,0.655047,0.655047
148,"TCD","Chad",0.670723,0.670753,0.670221
152,"CHL","Chile",0.684897,0.687892,0.683554
156,"CHN","China",0.577392,0.577397,0.576309
170,"COL","Colombia",0.582004,0.571919,0.564244
174,"COM","Comoros",0.356354,0.356477,0.356477
184,"COK","Cook Islands",0.659935,0.663262,0.663262
188,"CRI","Costa Rica",0.455573,0.444948,0.433976
384,"CIV","Cote d'Ivoire",0.499017,0.495593,0.495593
191,"HRV","Croatia",0.425819,0.431587,0.42557
192,"CUB","Cuba",0.489579,0.501139,0.501021
531,"CUW","Curacao",0.433203,0.426491,0.419439
196,"CYP","Cyprus",0.36233,0.364946,0.364498
203,"CZE","Czech Republic",0.493519,0.496274,0.488803
180,"COD","Dem. Rep. Congo",0.745233,0.740171,0.740171
208,"DNK","Denmark",0.454096,0.451931,0.44461
262,"DJI","Djibouti",0.643289,0.643177,0.643177
212,"DMA","Dominica",0.462925,0.46384,0.443389
214,"DOM","Dominican Republic",0.444405,0.448873,0.440844
218,"ECU","Ecuador",0.502488,0.495201,0.489281
818,"EGY","Egypt",0.770924,0.770747,0.770653
222,"SLV","El Salvador",0.443278,0.447865,0.446712
226,"GNQ","Equatorial Guinea",0.632605,0.631033,0.631033
232,"ERI","Eritrea",0.594209,0.596118,0.596118
233,"EST","Estonia",0.608953,0.608472,0.605169
748,"SWZ","Eswatini",0.454817,0.449986,0.449986
231,"ETH","Ethiopia",0.565061,0.566561,0.566562
234,"FRO","Faeroe Islands",0.440237,0.441425,0.433171
238,"FLK","Falkland Islands",0.702273,0.716519,0.704644
242,"FJI","Fiji",0.69818,0.720567,0.720566
246,"FIN","Finland",0.7617,0.760097,0.757991
250,"FRA","France",0.444907,0.446954,0.438431
258,"PYF","French Polynesia",0.709611,0.713451,0.713451
266,"GAB","Gabon",0.719269,0.714808,0.714808
270,"GMB","Gambia",0.473996,0.474964,0.474964
268,"GEO","Georgia",0.477246,0.476885,0.474102
