"code","iso","country","CCO.raw.1996","CCO.raw.1998","CCO.raw.2000","CCO.raw.2002","CCO.raw.2003","CCO.raw.2004","CCO.raw.2005","CCO.raw.2006","CCO.raw.2007","CCO.raw.2008","CCO.raw.2009","CCO.raw.2010","CCO.raw.2011","CCO.raw.2012","CCO.raw.2013","CCO.raw.2014","CCO.raw.2015","CCO.raw.2016","CCO.raw.2017","CCO.raw.2018"
4,"AFG","Afghanistan",-1.291705,-1.180848,-1.29538,-1.263366,-1.351042,-1.345281,-1.443609,-1.43289,-1.587331,-1.638287,-1.534796,-1.635723,-1.579179,-1.419888,-1.436761,-1.354784,-1.341994,-1.526352,-1.517341,-1.496648
8,"ALB","Albania",-0.8939035,-1.033112,-0.8572564,-0.868602,-0.8122751,-0.6991984,-0.7861931,-0.803845,-0.687789,-0.5937066,-0.5384951,-0.5250779,-0.6830084,-0.7265007,-0.6986033,-0.5481988,-0.4790328,-0.405266,-0.418309,-0.5218667
12,"DZA","Algeria",-0.5667409,-0.8817795,-0.9379111,-0.8756811,-0.6922612,-0.679478,-0.482172,-0.5213351,-0.5599289,-0.5945694,-0.5778834,-0.5248498,-0.5445848,-0.5032176,-0.4734841,-0.600029,-0.6455669,-0.6778925,-0.6041752,-0.636465
20,"AND","Andorra",1.318143,1.377704,1.359712,1.349896,1.37669,1.137412,1.278153,1.259531,1.269965,1.288655,1.325579,1.308072,1.279277,1.268373,1.260798,1.225222,1.218502,1.228779,1.242215,1.238614
24,"AGO","Angola",-1.167702,-1.405836,-1.522685,-1.183629,-1.320665,-1.313559,-1.296139,-1.220061,-1.289693,-1.284621,-1.404655,-1.32573,-1.344287,-1.268587,-1.3097,-1.44389,-1.394778,-1.439703,-1.412488,-1.144541
660,"AIA","Anguilla",NA,NA,NA,NA,NA,0.8550555,1.278153,1.259531,1.269965,1.288655,1.325579,1.308072,1.279277,1.268373,1.260798,1.225222,1.218502,1.228779,1.242215,1.238614
28,"ATG","Antigua and Barbuda",0.8698972,0.9177213,0.8956164,0.8801265,0.8889436,0.8566598,0.7499956,1.127545,1.154757,1.288655,1.325579,1.308072,1.279277,1.268373,1.260798,0.6399029,0.6896325,0.6937485,0.2420828,0.2766346
32,"ARG","Argentina",-0.1013172,-0.1134242,-0.1921188,-0.4682112,-0.4783363,-0.4249913,-0.3881924,-0.3412537,-0.3402916,-0.4355765,-0.4449961,-0.3614692,-0.3661579,-0.4431399,-0.432282,-0.5416201,-0.5470577,-0.2840413,-0.255946,-0.0834675
51,"ARM","Armenia",-0.4730513,-0.8611854,-0.7595353,-0.7465239,-0.5700286,-0.6104831,-0.6741413,-0.6708225,-0.7423844,-0.7080976,-0.6197577,-0.6963042,-0.656885,-0.5877874,-0.5319471,-0.5239985,-0.5338237,-0.5719545,-0.5604561,-0.3491127
533,"ABW","Aruba",NA,NA,NA,NA,NA,1.184472,1.278153,1.259531,1.269965,1.288655,1.116361,1.127209,1.109981,1.10298,1.126605,1.018918,1.297111,1.285848,1.291643,1.252027
36,"AUS","Australia",1.877356,1.849893,1.923246,1.809628,1.949854,2.028761,1.952358,1.960568,2.010918,2.042482,2.051661,2.031455,2.044637,1.985774,1.785322,1.853449,1.882113,1.816115,1.79505,1.806201
40,"AUT","Austria",1.732164,1.851166,1.809211,1.966434,2.019736,2.049625,1.92206,1.914531,2.013397,1.843035,1.703025,1.585462,1.431896,1.389731,1.550795,1.474735,1.519276,1.548537,1.526011,1.596262
31,"AZE","Azerbaijan",-1.445619,-1.300265,-1.300618,-1.179272,-1.007087,-1.163042,-1.04491,-1.089759,-1.122895,-1.148548,-1.188454,-1.243802,-1.178858,-1.126894,-0.9667774,-1.018747,-0.9299806,-0.8385039,-0.8853458,-0.8286031
44,"BHS","Bahamas",1.15681,1.33757,1.348332,1.45681,1.453112,1.430822,1.337382,1.35162,1.336277,1.342183,1.367955,1.354776,1.353807,1.323943,1.341892,1.313177,1.135789,1.108054,1.173819,1.131102
48,"BHR","Bahrain",0.3286887,0.2731056,0.3809991,0.8205786,0.3998932,0.4514511,0.3900585,0.1940299,0.1807736,0.18894,0.1851566,0.183213,0.2173178,0.3738421,0.4330941,0.2788305,0.1388495,-0.0158624,-0.1409596,-0.1472867
50,"BGD","Bangladesh",-0.9696822,-0.7163028,-1.108687,-1.361227,-1.442822,-1.496538,-1.387597,-1.434258,-1.056078,-1.034565,-1.06978,-1.057121,-1.087314,-0.8498433,-0.8870706,-0.8869383,-0.8083352,-0.8570897,-0.8317309,-0.9050215
52,"BRB","Barbados",1.542726,1.587918,1.571706,1.527845,1.544669,1.428756,1.419329,1.334153,1.410959,1.370844,1.384172,1.48343,1.724581,1.656359,1.619429,1.138043,1.490528,1.257364,1.421109,1.411373
112,"BLR","Belarus",-0.3896092,-0.4289593,-0.3834206,-0.7032999,-0.5923605,-0.8002411,-0.7539873,-0.6202697,-0.6594017,-0.6288756,-0.628215,-0.6940987,-0.679451,-0.5174967,-0.4712293,-0.3049268,-0.3350453,-0.2570701,-0.2575778,-0.1922756
56,"BEL","Belgium",1.359654,1.355769,1.496779,1.499904,1.419816,1.379904,1.385844,1.309614,1.355735,1.37489,1.460206,1.527498,1.575072,1.608068,1.673882,1.573292,1.573307,1.638705,1.497117,1.510279
84,"BLZ","Belize",-0.0265951,-0.0905186,-0.1810936,-0.236138,-0.085157,-0.2873777,-0.298595,-0.3611995,-0.3668478,-0.3382112,-0.0466371,-0.1069449,-0.3307131,-0.1363785,-0.0969268,-0.1982074,-0.222516,-0.2428283,-0.2719799,-0.138192
204,"BEN","Benin",-0.5481149,-0.5426646,-0.4736178,-0.7264618,-0.478256,-0.4649507,-0.8500885,-0.5886191,-0.4631715,-0.5033103,-0.6156271,-0.6608168,-0.5935286,-0.8565331,-0.7441061,-0.6660711,-0.5508218,-0.5134378,-0.5541117,-0.3833744
60,"BMU","Bermuda",1.318143,1.377704,1.359712,1.349896,1.37669,1.32565,1.278153,1.259531,1.269965,1.288655,1.325579,1.308072,1.279277,1.268373,1.260798,1.225222,1.218502,1.228779,1.242215,1.238614
64,"BTN","Bhutan",0.9428385,1.000247,0.9876838,1.039471,1.090904,0.7965031,0.8192554,0.8159847,0.8810524,0.8581817,0.9099128,0.9126349,0.8384976,0.9398408,0.9015957,1.280399,1.022321,1.126504,1.568294,1.646514
68,"BOL","Bolivia",-0.8248291,-0.3579106,-0.460205,-0.8996164,-0.8151417,-0.7758362,-0.7362384,-0.4345672,-0.4037066,-0.5232219,-0.6303167,-0.4657613,-0.5694195,-0.7292001,-0.5899193,-0.6301294,-0.6963719,-0.7243935,-0.6573039,-0.62591
70,"BIH","Bosnia and Herzegovina",-0.2705697,-0.3825145,-0.5611669,-0.3965273,-0.2999177,-0.3444514,-0.2380575,-0.3024295,-0.3767459,-0.3626382,-0.3800561,-0.3371409,-0.3209531,-0.3043853,-0.2385885,-0.3080309,-0.3939079,-0.4564562,-0.515448,-0.5718023
