"code","iso","country","FSS.raw.1950","FSS.raw.1951","FSS.raw.1952","FSS.raw.1953","FSS.raw.1954","FSS.raw.1955","FSS.raw.1956","FSS.raw.1957","FSS.raw.1958","FSS.raw.1959","FSS.raw.1960","FSS.raw.1961","FSS.raw.1962","FSS.raw.1963","FSS.raw.1964","FSS.raw.1965","FSS.raw.1966","FSS.raw.1967","FSS.raw.1968","FSS.raw.1969","FSS.raw.1970","FSS.raw.1971","FSS.raw.1972","FSS.raw.1973","FSS.raw.1974","FSS.raw.1975","FSS.raw.1976","FSS.raw.1977","FSS.raw.1978","FSS.raw.1979","FSS.raw.1980","FSS.raw.1981","FSS.raw.1982","FSS.raw.1983","FSS.raw.1984","FSS.raw.1985","FSS.raw.1986","FSS.raw.1987","FSS.raw.1988","FSS.raw.1989","FSS.raw.1990","FSS.raw.1991","FSS.raw.1992","FSS.raw.1993","FSS.raw.1994","FSS.raw.1995","FSS.raw.1996","FSS.raw.1997","FSS.raw.1998","FSS.raw.1999","FSS.raw.2000","FSS.raw.2001","FSS.raw.2002","FSS.raw.2003","FSS.raw.2004","FSS.raw.2005","FSS.raw.2006","FSS.raw.2007","FSS.raw.2008","FSS.raw.2009","FSS.raw.2010","FSS.raw.2011","FSS.raw.2012","FSS.raw.2013","FSS.raw.2014"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266,0.0354,0.0276,0.0058,0.0085,0.0065,0.0026,1e-04,1e-04,1e-04,2e-04,0,2e-04,0,9e-04,0,0.0803,0,0,0,0,0.0757,0.1121,0.0662,0.0308,0.0137,0.019,0.0215,0.0196,0.0169,0.0146,0.0144,0.0145,0.0175,0.0173,0.0169,0.0157,0.0143,0.0155,0.0155,0.0216,0.0222,0.0238,0.0217,0.0256,0.0411,0.0995,0.1602,0.1733,0.1769,0.2979,0.6494
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0,0,0,0,0.026,0.0205,0.0173,0.0865,0.1359,0.2208,0.1849,0.2245,0.2633,0.2665,0.2417,0.1959,0.1718,0.1706,0.1195,0.1194,0.0684,0.0609,0.035,0.1338,0.2502,0.3718,0.3989,0.4295,0.5566,0.5901,0.6331,0.5843,0.6155,0.579,0.5403,0.4068,0.3201,0.1282,0.0519,0.0793,0.1228,0.1607,0.1175,0.1111,0.2274,0.3385,0.4255,0.3844,0.3,0.2438,0.2244,0.2371,0.2826,0.2734,0.2935,0.2766,0.1816,0.2111,0.1789,0.1951,0.1197,0.1262,0.1342,0.1349,0.1212
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395,0.0643,0.0215,0.0304,0.0264,0.0178,0.0672,0.1105,0.0316,0.0221,0.0179,0.1359,0.1965,0.1928,0.1799,0.1733,0.1618,0.1321,0,0,0.0957,0.1462,0.5406,0.5721,0.5558,0.5046,0.4783,0.4787,0.4497,0.0136,0.0124,0.2129,0.0046,0.5207,0.5404,0.1848,0.1309,0.1344,0.1442,0.1311,0.145,0.2315,0.302,0.3158,0.1435,0.1238,0.222,0.6889
32,"ARG","Argentina",0,0,0,0,0.0045,0,0,0.0046,0.0043,0.014,0.0234,0.0271,0.0232,0.013,0.0095,0.0054,0.0531,0.0499,0.0728,0.0459,0.0613,0.0563,0.0555,0.048,0.0609,0.0774,0.0641,0.0454,0.0346,0.0445,0.0539,0.0717,0.0903,0.1088,0.1097,0.1087,0.0809,0.0671,0.046,0.0481,0.0355,0.0402,0.036,0.0401,0.028,0.0195,0.0159,0.0187,0.1352,0.2542,0.3836,0.2789,0.3738,0.309,0.3613,0.1461,0.1954,0.1182,0.2516,0.3024,0.5284,0.6269,0.7017,0.7502,0.7402
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
