"code","iso","country","GL5.raw.1997","GL5.raw.1998","GL5.raw.1999","GL5.raw.2000","GL5.raw.2001","GL5.raw.2002","GL5.raw.2003","GL5.raw.2004","GL5.raw.2005","GL5.raw.2006","GL5.raw.2007","GL5.raw.2008","GL5.raw.2009","GL5.raw.2010","GL5.raw.2011","GL5.raw.2012","GL5.raw.2013","GL5.raw.2014","GL5.raw.2015"
4,"AFG","Afghanistan",470.16,607.05,862.38,685.26,776.25,836.64,777.96,597.06,584.1,409.59,354.33,401.94,517.95,662.31,729.09,762.39,722.25,949.23,709.83
8,"ALB","Albania",1.26,2.25,4.77,7.11,9.63,10.8,10.26,8.55,5.58,3.51,4.41,11.25,12.96,13.41,13.05,10.53,3.6,1.8,2.25
12,"DZA","Algeria",1.8,1.8,3.15,3.15,15.75,23.04,318.42,648.27,790.38,790.47,799.47,522.99,194.67,53.37,39.87,24.57,5.67,2.34,1.44
20,"AND","Andorra",0,0,0.36,0.36,0.36,0.36,0.54,0.18,0.18,0.18,0.36,0.18,0.36,0.36,1.26,1.08,1.08,0.9,0.9
24,"AGO","Angola",338.04,698.13,1782.18,3115.35,3466.26,3804.66,4077.72,3889.98,2599.65,2369.7,2180.16,1927.08,2334.87,2747.16,2855.61,3211.83,3067.2,1880.28,1332.63
660,"AIA","Anguilla",0.09,0.18,0.27,0.45,0.72,0.63,0.54,0.54,0.36,0.09,0.09,0.09,0,0,0,0,0.09,0.18,0.18
28,"ATG","Antigua and Barbuda",0.54,0.63,0.72,0.9,0.9,0.72,2.79,3.78,3.6,3.87,4.14,2.52,2.79,3.06,2.97,2.88,2.97,2.16,2.34
32,"ARG","Argentina",388.98,652.14,1105.11,1488.42,1757.61,1961.01,1868.94,1738.98,1439.28,1421.01,1476.54,1910.88,1792.53,1794.96,1705.68,1529.28,1030.77,985.32,792.27
51,"ARM","Armenia",0,2.07,8.01,8.37,14.31,17.82,15.93,10.62,21.6,25.2,30.78,42.75,42.21,30.96,18.09,42.75,30.96,31.86,32.13
533,"ABW","Aruba",0,0.09,0.09,0.09,0.09,0.09,0,0,0,0,0,0.09,0.36,0.36,0.72,1.26,4.14,8.46,8.82
36,"AUS","Australia",15744.33,23185.17,35167.41,38085.12,46569.78,50945.85,52097.49,45983.97,41090.58,32383.98,30190.68,28217.61,26619.66,26517.69,25279.56,24088.32,21660.21,19710.27,14657.94
40,"AUT","Austria",47.79,50.49,54.18,31.32,46.8,60.57,86.58,122.58,119.52,100.71,85.05,63,25.65,23.85,21.24,18.45,8.46,17.46,16.65
31,"AZE","Azerbaijan",3.96,8.01,11.25,10.98,27.54,35.37,32.85,30.15,35.28,26.91,23.67,29.97,30.06,22.14,14.67,13.95,6.48,8.91,7.83
44,"BHS","Bahamas",1.89,2.7,9.72,12.33,16.29,15.57,16.29,9.81,7.2,4.41,5.49,5.22,5.58,5.58,4.14,2.97,1.62,0.63,0.18
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",487.62,548.82,623.16,277.74,426.51,439.65,443.43,402.57,385.83,220.68,161.46,106.65,84.51,60.75,45.81,35.19,24.03,23.49,18.81
52,"BRB","Barbados",0.81,0.63,0.27,0.18,0.09,0.09,0.09,0.18,0.54,0.54,0.81,1.08,1.17,1.35,1.44,1.44,1.26,1.08,0.54
112,"BLR","Belarus",5.4,5.4,6.75,3.69,19.26,35.64,46.35,49.41,52.02,40.86,29.61,35.19,34.56,32.76,28.71,24.66,8.82,6.57,5.13
56,"BEL","Belgium",7.11,9,8.73,9.63,15.12,20.88,29.34,35.19,33.12,26.64,21.78,13.14,7.2,7.38,8.82,6.93,4.59,4.86,4.5
84,"BLZ","Belize",1.89,2.52,4.32,5.85,6.57,8.64,8.91,7.74,5.67,4.86,2.52,1.98,1.89,1.62,3.87,3.78,3.51,4.14,3.87
204,"BEN","Benin",5.58,5.4,5.13,5.13,5.49,1.98,2.16,2.7,3.24,3.33,1.98,2.07,1.98,1.53,1.44,1.8,1.98,1.71,1.8
60,"BMU","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
