"code","iso","country","GOE.raw.1996","GOE.raw.1998","GOE.raw.2000","GOE.raw.2002","GOE.raw.2003","GOE.raw.2004","GOE.raw.2005","GOE.raw.2006","GOE.raw.2007","GOE.raw.2008","GOE.raw.2009","GOE.raw.2010","GOE.raw.2011","GOE.raw.2012","GOE.raw.2013","GOE.raw.2014","GOE.raw.2015","GOE.raw.2016","GOE.raw.2017","GOE.raw.2018"
4,"AFG","Afghanistan",-2.175167,-2.135942,-2.231651,-1.567973,-1.082488,-0.8940507,-1.210829,-1.430343,-1.403352,-1.496089,-1.483899,-1.454683,-1.448488,-1.36014,-1.38493,-1.331396,-1.322968,-1.226363,-1.33461,-1.457285
8,"ALB","Albania",-0.6885879,-0.6313924,-0.7551177,-0.5333483,-0.5382094,-0.4158677,-0.6594524,-0.5236022,-0.4066241,-0.3567637,-0.2578982,-0.2827555,-0.208207,-0.2677997,-0.3169199,-0.0855579,0.0102911,0.0132704,0.0837741,0.114788
12,"DZA","Algeria",-1.088766,-0.8290017,-0.963841,-0.5975198,-0.6123729,-0.5726308,-0.4675675,-0.4726413,-0.5657254,-0.6265267,-0.5829369,-0.4795416,-0.5646155,-0.5323191,-0.5341949,-0.4775529,-0.5008814,-0.5311597,-0.5891593,-0.4439246
20,"AND","Andorra",1.414038,1.46205,1.446284,1.423874,1.410648,1.524566,1.292862,1.543035,1.508254,1.537209,1.540096,1.518033,1.504689,1.531356,1.539397,1.718336,1.787205,1.860587,1.937282,1.944976
24,"AGO","Angola",-0.85994,-1.341783,-1.46231,-1.238857,-1.156531,-1.314578,-1.137153,-1.369493,-1.206412,-1.062213,-0.9603533,-1.117896,-1.153556,-0.9896317,-1.223171,-1.123669,-1.000103,-1.035903,-1.025313,-1.052086
660,"AIA","Anguilla",NA,NA,NA,NA,NA,1.07886,1.558452,1.543035,1.508254,1.537209,1.540096,1.518033,1.504689,1.531356,1.539397,0.952229,1.007332,1.328888,0.8358998,0.8301269
28,"ATG","Antigua and Barbuda",0.6449225,0.6910514,0.6581553,0.6143455,0.6333275,0.5590521,0.453247,0.416459,0.4052124,0.5056782,0.5023152,0.4928478,0.4868821,0.4859672,0.4905606,-0.0692469,0.227459,0.2654906,0.009863,-0.0060096
32,"ARG","Argentina",0.16569,0.3764851,0.0321771,-0.2803573,-0.0474383,-0.0575691,-0.1242145,-0.0455042,-0.0159589,-0.1468119,-0.3182648,-0.16279,-0.1200561,-0.2385752,-0.2775489,-0.1591353,-0.0750081,0.1621292,0.149542,0.0259878
51,"ARM","Armenia",-0.3805645,-0.4754119,-0.5157526,-0.0914017,-0.1563007,-0.0922412,-0.139913,-0.2545792,-0.3758438,-0.1726939,-0.0297348,-0.1838435,-0.1289589,-0.0422713,0.0690115,-0.1980509,-0.1608088,-0.1581753,-0.1043894,-0.0243394
533,"ABW","Aruba",NA,NA,NA,NA,NA,1.301713,1.292862,1.285327,1.252985,1.279326,1.500568,1.251719,1.242131,1.254732,1.227074,0.8916514,0.8835687,0.8932294,0.9177416,1.058392
36,"AUS","Australia",1.800565,1.682469,1.810187,1.718943,1.837643,2.006778,1.751213,1.711956,1.825559,1.79397,1.705787,1.768756,1.69595,1.62144,1.639869,1.607115,1.564534,1.568509,1.535514,1.596495
40,"AUT","Austria",1.73165,1.87274,1.929282,1.942698,1.995846,1.865303,1.684595,1.831036,1.870187,1.78084,1.66658,1.841763,1.617761,1.575873,1.588477,1.572586,1.479127,1.511905,1.461261,1.453342
31,"AZE","Azerbaijan",-0.9163896,-0.9765213,-1.005987,-0.9290094,-0.7668569,-0.7424284,-0.7294372,-0.6535253,-0.7891765,-0.7735335,-0.6581194,-0.8069344,-0.7651483,-0.7826402,-0.4750386,-0.3638154,-0.2573686,-0.1656132,-0.1682509,-0.1004674
44,"BHS","Bahamas",1.373242,1.319277,1.295001,1.309838,1.282935,1.221895,1.210941,1.169823,1.108991,1.149585,1.008501,1.075746,0.9800856,0.9895768,0.872555,0.7289602,0.7127459,0.7195333,0.5770623,0.5391499
