"code","iso","country","GPC.raw.1990","GPC.raw.1991","GPC.raw.1992","GPC.raw.1993","GPC.raw.1994","GPC.raw.1995","GPC.raw.1996","GPC.raw.1997","GPC.raw.1998","GPC.raw.1999","GPC.raw.2000","GPC.raw.2001","GPC.raw.2002","GPC.raw.2003","GPC.raw.2004","GPC.raw.2005","GPC.raw.2006","GPC.raw.2007","GPC.raw.2008","GPC.raw.2009","GPC.raw.2010","GPC.raw.2011","GPC.raw.2012","GPC.raw.2013","GPC.raw.2014","GPC.raw.2015","GPC.raw.2016","GPC.raw.2017","GPC.raw.2018","GPC.raw.2019"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016.24540862058,1055.5574588535,1025.20824467105,1099.10456823771,1123.87132250309,1247.75311771131,1267.64493878823,1502.35407317932,1671.58123769109,1626.76479325583,1772.7649742986,1807.76234428536,1795.73583437878,1766.59307686426,1757.0234901613,1758.46563622212,1734.72321415839,NA
8,"ALB","Albania",4458.24711491038,3229.25012026629,3015.39137723213,3323.86438820743,3622.00710148684,4129.97533995597,4533.89435747118,4064.13280350426,4450.92252347435,5056.56651488884,5442.57804721487,5949.34323588268,6238.11972409343,6607.76762746182,7001.05408173825,7426.11544298797,7914.03585303716,8450.91823570926,9154.71374865939,9525.37797946435,9927.63820407247,10207.7523472149,10369.5610324771,10492.6690281171,10700.9932164462,10970.3214009733,11352.1014215285,11796.7191847363,12316.0715010455,NA
12,"DZA","Algeria",10300.0150420056,9929.09771662044,9873.02486406039,9453.32318137324,9176.23556860993,9344.74890892473,9558.8228677088,9509.12339314861,9845.20922236282,10017.3740341841,10257.741569271,10427.985154974,10872.4340787749,11507.4829913352,11845.1705118832,12370.8920050248,12397.4670476696,12621.6441718316,12714.8135075909,12697.6907797038,12919.4910536141,13046.1285113709,13229.0087109151,13329.7707580155,13557.7697574639,13774.758920347,13926.9104885426,13822.3890868998,13737.3560625058,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",4761.22963799363,4651.20429857157,4238.31841898683,3118.90348824696,3060.33620736515,3407.97452350337,3747.16400424938,3892.47341968191,3945.59493029686,3902.77419566238,3892.3169253943,3924.31619624162,4314.5409381466,4295.90856883368,4604.65704387396,5112.58920166573,5500.24253587995,6044.21715551043,6474.37642342764,6292.53485632204,6360.44193782807,6346.39512245025,6645.08562465346,6730.94582201133,6813.05210589334,6644.85725505813,6258.37662755944,6044.97203549525,5725.32723774517,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",17454.5497991278,17598.378401015,17497.3801269887,18055.5009558662,18851.9378219,17645.1737689359,18407.7105533966,19000.2818784893,19486.1718917018,19816.2914409884,20769.0958619823,19434.4075068744,19361.8598546183,20274.5382519488,21161.1235315003,22205.9891867516,24657.4651453771,26516.7409537933,26083.1677616184,22568.6265297858,20555.4142048045,19876.2153228797,20283.8975341342,19918.131682288,20440.5405551225,20994.7258901414,21923.7960368902,22400.3795618564,23840.7298964163,NA
32,"ARG","Argentina",11372.8231076423,12238.7888472347,13032.793286462,13919.4038997753,14546.5387867258,13959.9996570559,14556.7335748029,15556.0175645669,15973.0672585851,15261.4419922845,14975.3033216,14159.5848404901,12480.9976567284,13439.1071255147,14498.7723316514,15619.451344,16705.8696830037,18029.6825798292,18575.8877229221,17302.6541492773,18911.8231883276,19817.4504765479,19392.3097931241,19637.7553833376,18935.0024966208,19243.5794686236,18645.0918508457,18945.1440219822,18288.2445989345,NA
51,"ARM","Armenia",3742.43102430261,3335.59523798288,1976.52521776098,1845.3142200831,1992.01523895145,2173.35877702752,2336.51213668275,2441.17949606885,2639.94677079136,2744.4257626029,2924.74452135796,3224.10745580807,3669.34542509197,4206.79947455513,4673.81650269449,5356.59645608394,6110.62482273625,7011.67412540553,7559.92654863541,6534.07715174724,6702.82936989705,7019.76774846006,7505.12457412054,7717.06096440541,7954.19533052503,8171.83235372947,8158.63479378222,8744.73136772524,9177.74415916106,NA
533,"ABW","Aruba",37140.0246568535,38562.9606176892,38669.3749013174,39051.995974397,39944.1114331305,39113.4716477321,38209.1954261706,39824.2909203858,39767.7893949071,39478.4943294997,41621.2326674911,39495.5577972876,37360.4757716201,37303.3326851659,39553.3740743504,39515.8146030031,39612.976748349,40171.5234529022,40081.2323667298,35830.4979582943,34437.4941743467,35492.6184873268,34830.9765514284,36082.5224859839,36172.9333549571,35814.2614376623,35557.6568622291,35861.8281181686,NA,NA
36,"AUS","Australia",28669.0594737612,28193.5286508523,27968.4018842421,28812.1003756597,29644.1460195852,30411.7055867052,31178.9221640887,32055.0119923066,33174.5070965308,34461.6599833889,35392.5691234561,35592.7896139099,36567.9214988415,37197.9525380117,38260.3809952501,38968.5926095176,39470.9989595509,40733.1388010281,41385.3831705075,41326.3919298816,41529.7594995566,41965.3584189919,42854.8907793467,43212.4471035512,43651.1031328495,43970.8037036567,44488.7408277738,44781.3227596881,45377.7551430058,NA
40,"AUT","Austria",31341.902892864,32098.492081453,32411.8030013195,32314.9714107323,32964.1021593637,33791.8020278433,34539.0857422736,35222.260537119,36443.7086340099,37666.41133496,38844.4044878449,39186.3358923689,39638.0275113267,39816.7738198532,40652.8110668432,41282.8797642649,42498.0074198338,43939.4254382743,44441.7880173077,42656.8546897355,43336.1980012617,44452.7327458,44551.6181062599,44301.1048287695,44246.8932711526,44197.5402025482,44632.726103625,45421.4253996812,46260.38238262,NA
31,"AZE","Azerbaijan",8789.71453035858,8593.74050936534,6551.53853942429,4962.17466976829,3931.12722768232,3427.5511190645,3437.22268499834,3601.66911871185,3924.41066545063,4177.98969346228,4603.76986083564,5020.4949277868,5453.5302441996,5964.8783790501,6460.05502508543,8182.31181443141,10882.2346703891,13499.2683468612,14618.8154247387,15660.0023600547,16215.8471997646,15754.1523626149,15888.6748721826,16600.8799688925,16853.5684691466,16828.9901596415,16131.9721279442,15929.3996305908,16010.9890363159,NA
44,"BHS","Bahamas",31005.636485491,29164.3983210033,27519.3026804507,27090.7660552441,27459.9103809806,28218.5422989711,29017.4330110787,29267.4906697163,30306.2847016489,32088.7824995025,32972.9406359751,33328.0245285839,33668.4424988705,32662.0267215451,32354.69962242,32838.9943043302,33037.6167730226,32884.1288424015,31531.8716337511,29703.4249165462,29706.9085147559,29503.7080684624,30079.2591725046,28906.3486795298,28847.0235756913,28742.3229678976,28586.0299456597,28318.1074283423,28472.2004633762,NA
48,"BHR","Bahrain",35113.5078392167,37997.2050321247,39506.4510924844,43499.5492315483,42334.971631122,42897.080113767,43504.8786575437,43624.303392291,44315.8244115239,44562.8417974462,44942.8278713413,43887.536236615,43037.2212818862,43187.8826912296,43355.7381178465,43202.2472611104,42672.5174642962,42754.4835207745,42215.1190747494,40714.8017281234,40570.7612040579,40168.3278932787,40967.4083486514,42691.1094352072,43846.5685541003,43925.7201828869,43731.983424014,43320.656139557,41973.112933757,NA
50,"BGD","Bangladesh",1325.59207064118,1340.26165958611,1382.0003726273,1416.07470469475,1440.01225246911,1481.79055101761,1516.16258120593,1551.13570721207,1597.89747759363,1639.03069871164,1692.42211846311,1745.12084442569,1779.33188760777,1831.67722085559,1896.76331082398,1990.95359726971,2095.36978287104,2215.92522146022,2322.42636234319,2412.50170153957,2518.43417760304,2650.72993332452,2791.17209838009,2924.99209929067,3067.03288410178,3231.69523717156,3424.01066014401,3634.31695409681,3879.16152410685,NA
52,"BRB","Barbados",14796.3890544715,14166.7347290065,13310.4344095139,13365.7628850334,13582.0695369583,13800.2845148441,14290.2669823573,14904.1279571366,15393.8708067027,15381.7098670997,16002.8059256608,15567.7885749064,15637.2888819282,15924.8243083373,16093.5935478565,16667.2618376457,17538.7784643158,17786.342161742,17868.7194128323,16930.3997517225,16502.6520667464,16321.9834236748,16270.0942516325,16013.6490442293,15956.8433559552,16280.151289403,16623.6781993755,16569.5722629089,16463.5174338393,NA
112,"BLR","Belarus",8366.63218540654,8262.17850987819,7452.92486020855,6871.03319279074,6074.24098779921,5460.13841164859,5631.80627795078,6300.49799152434,6862.29737993062,7125.52295663578,7574.4049979219,7973.1135065485,8428.86324527167,9085.88621617333,10195.5108209511,11230.3314313225,12429.2352111868,13560.2284948669,14995.0776294824,15058.6044544366,16260.5926799473,17166.6956434719,17472.3249308517,17644.8544069876,17933.3427177555,17219.1206477761,16763.0361063248,17193.4241428478,17741.8622306394,NA
56,"BEL","Belgium",30188.7951481243,30628.1543376969,30971.0566643737,30553.5669781061,31442.4676190327,32124.9421632518,32485.9290211133,33636.8328240269,34223.579038195,35354.9069829311,36580.1137148437,36855.3718243493,37316.7970845538,37546.6127316428,38719.5379433357,39401.1783406808,40141.2061493839,41312.6771474999,41170.7826385585,40015.5701527226,40787.3732159276,40942.372710454,40990.0358237848,40984.6405257382,41447.1873814025,42045.3836218243,42465.1875100572,43132.8055365393,43582.1283959571,NA
84,"BLZ","Belize",5027.07292061031,5498.53932448574,6060.29378206192,6333.13535711753,6215.53400451706,6095.89511632833,5989.04539333795,5979.79305512907,5970.04137815713,6256.54580332326,6833.0397062779,6957.78002559062,7110.09850593983,7570.00826163121,7719.05475499132,7714.49342674003,7859.43578126644,7741.81412417677,7788.67244977687,7645.75259912517,7713.02525646209,7694.35511087352,7738.48939200547,7630.25236631462,7740.68103339625,7838.48363087379,7634.44961690309,7592.31187105674,7673.65358698539,NA
