"code","iso","country","GRA.raw.1992","GRA.raw.1993","GRA.raw.1994","GRA.raw.1995","GRA.raw.1996","GRA.raw.1997","GRA.raw.1998","GRA.raw.1999","GRA.raw.2000","GRA.raw.2001","GRA.raw.2002","GRA.raw.2003","GRA.raw.2004","GRA.raw.2005","GRA.raw.2006","GRA.raw.2007","GRA.raw.2008","GRA.raw.2009","GRA.raw.2010","GRA.raw.2011","GRA.raw.2012","GRA.raw.2013","GRA.raw.2014","GRA.raw.2015"
4,"AFG","Afghanistan",231998.22,231997.59,231997.32,232331.04,232311.6,232395.75,232411.05,233793.9,234491.22,235354.05,236294.73,237145.5,238477.77,238789.62,238957.83,239806.98,240189.03,240323.58,240305.31,240581.16,240579.63,240555.15,240184.17,240179.31
8,"ALB","Albania",1571.49,1571.49,1571.4,1583.01,1584,1587.96,1588.68,1591.56,1589.13,1588.5,1588.05,1587.78,1586.88,1587.69,1587.6,1585.44,1578.15,1576.26,1578.6,1579.59,1583.73,1583.64,1583.55,1582.56
12,"DZA","Algeria",924.21,924.21,924.12,924.03,923.13,922.41,922.41,921.96,923.4,910.35,902.7,607.32,275.85,133.65,120.15,103.41,84.51,81.18,80.28,81.36,81.09,83.88,84.51,84.51
20,"AND","Andorra",94.23,94.23,94.23,102.33,103.95,104.13,106.38,107.46,107.46,107.46,107.46,107.28,107.28,107.28,107.28,107.1,107.1,106.92,106.92,106.02,106.02,106.02,106.02,106.02
24,"AGO","Angola",168292.26,168290.82,168289.11,168291.54,168220.44,168174.99,168753.15,169537.68,170042.76,169951.86,169749.27,169324.29,168622.83,168534.63,168371.64,168187.68,167891.76,166665.78,166191.21,165894.03,165310.74,165132.09,165052.26,165047.94
660,"AIA","Anguilla",48.15,48.15,48.15,48.15,48.15,48.06,47.97,47.88,47.7,47.43,47.43,47.43,47.34,47.34,47.34,47.34,47.34,47.34,47.34,47.34,47.34,47.25,47.16,47.16
28,"ATG","Antigua and Barbuda",136.62,136.44,136.35,136.35,136.26,136.08,135.81,135.63,135.45,135.36,135.36,133.02,131.94,131.94,131.58,131.31,130.59,129.15,128.88,128.61,128.43,127.62,141.39,140.94
32,"ARG","Argentina",84815.46,84814.83,84814.2,84819.87,84810.06,84863.79,84871.08,85291.56,85676.76,85948.65,85835.07,85856.76,85924.17,85900.05,85616.64,85409.01,85019.85,85013.01,84954.15,84735.18,84607.02,84556.8,84537.54,84536.19
51,"ARM","Armenia",3048.12,3048.12,3048.12,3158.82,3166.65,3178.35,3229.38,3269.88,3321.18,3328.47,3373.65,3379.41,3379.77,3368.88,3355.38,3350.79,3339.18,3339.36,3339.63,3338.82,3310.65,3310.29,3309.75,3309.48
533,"ABW","Aruba",27.9,27.9,27.9,27.9,27.9,27.9,27.81,27.81,27.81,27.81,27.81,27.81,27.81,27.81,27.81,27.81,27.72,27.45,27.45,27.09,26.55,23.58,18.99,18.63
