"code","iso","country","HAD.raw.1990","HAD.raw.1991","HAD.raw.1992","HAD.raw.1993","HAD.raw.1994","HAD.raw.1995","HAD.raw.1996","HAD.raw.1997","HAD.raw.1998","HAD.raw.1999","HAD.raw.2000","HAD.raw.2001","HAD.raw.2002","HAD.raw.2003","HAD.raw.2004","HAD.raw.2005","HAD.raw.2006","HAD.raw.2007","HAD.raw.2008","HAD.raw.2009","HAD.raw.2010","HAD.raw.2011","HAD.raw.2012","HAD.raw.2013","HAD.raw.2014","HAD.raw.2015","HAD.raw.2016","HAD.raw.2017","HAD.raw.2018","HAD.raw.2019"
4,"AFG","Afghanistan",13227.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,12504.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,8278.872,NA,NA,NA,NA,6345.078,NA,NA,NA,5328.369
8,"ALB","Albania",2633.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,1629.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,633.7279,NA,NA,NA,NA,491.6794,NA,NA,NA,404.6355
12,"DZA","Algeria",715.5509,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.5847,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9288,NA,NA,NA,NA,11.3344,NA,NA,NA,6.17
20,"AND","Andorra",3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655,NA,NA,NA,NA,0.555,NA,NA,NA,0.471
24,"AGO","Angola",9808.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,7517.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,4330.007,NA,NA,NA,NA,2783.846,NA,NA,NA,1967.15
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",128.2168,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8254,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5884,NA,NA,NA,NA,20.496,NA,NA,NA,14.5896
32,"ARG","Argentina",344.3259,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.1518,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.8026,NA,NA,NA,NA,42.5696,NA,NA,NA,33.9046
51,"ARM","Armenia",1036.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,787.3494,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.7257,NA,NA,NA,NA,68.1337,NA,NA,NA,48.7536
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
