"code","iso","country","LDA.raw.2018"
4,"AFG","Afghanistan",645513.38719808
8,"ALB","Albania",28775.4872837574
12,"DZA","Algeria",2316660.96578217
20,"AND","Andorra",452.215661906103
24,"AGO","Angola",1255284.42531669
660,"AIA","Anguilla",83.754957940183
28,"ATG","Antigua and Barbuda",438.229374635639
32,"ARG","Argentina",2786475.28032469
51,"ARM","Armenia",29683.867095826
533,"ABW","Aruba",183.049541517099
36,"AUS","Australia",7716526.15972036
40,"AUT","Austria",83795.7108012297
31,"AZE","Azerbaijan",86370.7280238814
44,"BHS","Bahamas",13447.8119131386
48,"BHR","Bahrain",668.207470414099
50,"BGD","Bangladesh",140303.374182419
52,"BRB","Barbados",437.264713290283
112,"BLR","Belarus",206450.119588888
56,"BEL","Belgium",30652.5406729547
84,"BLZ","Belize",22111.6610227874
204,"BEN","Benin",116156.332112487
60,"BMU","Bermuda",68.2596095774844
64,"BTN","Bhutan",40149.6073129238
68,"BOL","Bolivia",1089460.18125452
70,"BIH","Bosnia and Herzegovina",51066.489711542
72,"BWA","Botswana",580859.892566535
76,"BRA","Brazil",8552004.80395502
92,"VGB","British Virgin Islands",170.268259685992
96,"BRN","Brunei Darussalam",5808.41995925185
100,"BGR","Bulgaria",112055.664116285
854,"BFA","Burkina Faso",276483.082842176
108,"BDI","Burundi",27142.1701318653
132,"CPV","Cabo Verde",4114.35328327267
116,"KHM","Cambodia",182457.294327901
120,"CMR","Cameroon",469100.98913998
124,"CAN","Canada",9942261.46821432
136,"CYM","Cayman Islands",281.879488683982
140,"CAF","Central African Republic",624212.864776079
148,"TCD","Chad",1277275.19412717
152,"CHL","Chile",758996.190425696
156,"CHN","China",9400019.37558079
170,"COL","Colombia",1144037.76889862
174,"COM","Comoros",1683.46771946129
184,"COK","Cook Islands",262.685370499115
188,"CRI","Costa Rica",51500.9229629708
384,"CIV","Cote d'Ivoire",323718.782786566
191,"HRV","Croatia",56910.175586226
192,"CUB","Cuba",111274.114754796
531,"CUW","Curacao",440.398214666365
196,"CYP","Cyprus",9289.38377434186
203,"CZE","Czech Republic",78592.4317930644
180,"COD","Dem. Rep. Congo",2343614.03590265
208,"DNK","Denmark",43091.7429493513
262,"DJI","Djibouti",21819.978625426
212,"DMA","Dominica",758.577413289796
214,"DOM","Dominican Republic",48361.8379671682
218,"ECU","Ecuador",258342.37783889
818,"EGY","Egypt",1003871.99455837
222,"SLV","El Salvador",20544.8733667638
226,"GNQ","Equatorial Guinea",27201.2550904763
232,"ERI","Eritrea",120534.340881198
233,"EST","Estonia",45350.2294911319
748,"SWZ","Eswatini",17359.4324357017
231,"ETH","Ethiopia",1138268.58376831
234,"FRO","Faeroe Islands",1391.87202651216
238,"FLK","Falkland Islands",12378.1095903258
242,"FJI","Fiji",19068.1821149409
246,"FIN","Finland",335174.959189811
250,"FRA","France",549198.912680229
258,"PYF","French Polynesia",4162.60148224473
266,"GAB","Gabon",266408.943912047
270,"GMB","Gambia",10760.6940750292
268,"GEO","Georgia",69890.4794548301
276,"DEU","Germany",356767.603575269
288,"GHA","Ghana",239866.237123948
300,"GRC","Greece",132667.056548059
304,"GRL","Greenland",2153596.92128451
308,"GRD","Grenada",361.739237401501
320,"GTM","Guatemala",109778.691816242
831,"GGY","Guernsey",88.359660729689
324,"GIN","Guinea",246205.406236613
624,"GNB","Guinea-Bissau",34018.9600826396
328,"GUY","Guyana",211135.098566275
332,"HTI","Haiti",27219.2891403904
336,"VAT","Holy See",0.528731030440597
340,"HND","Honduras",112947.402353726
344,"HKG","Hong Kong",1134.68497000975
348,"HUN","Hungary",92922.3936482203
352,"ISL","Iceland",102124.281331313
356,"IND","India",3166954.94442656
360,"IDN","Indonesia",1917290.1459825
364,"IRN","Iran",1626357.58830307
368,"IRQ","Iraq",446583.406953095
372,"IRL","Ireland",70147.6367291098
833,"IMN","Isle of Man",578.402650610003
376,"ISR","Israel",22470.9123773875
380,"ITA","Italy",301563.982434462
388,"JAM","Jamaica",11059.7744651797
392,"JPN","Japan",373128.86637827
832,"JEY","Jersey",125.034497991053
400,"JOR","Jordan",89399.0747762725
398,"KAZ","Kazakhstan",2728514.06277853
404,"KEN","Kenya",595307.491848197
296,"KIR","Kiribati",1017.70921944347
689,"XKX","Kosovo",11156.6482774489
414,"KWT","Kuwait",17449.808373005
417,"KGZ","Kyrgyzstan",199694.088051384
418,"LAO","Laos",231027.561249478
428,"LVA","Latvia",64536.3145149616
422,"LBN","Lebanon",10446.300206567
426,"LSO","Lesotho",30558.8411628273
430,"LBR","Liberia",96547.898458649
434,"LBY","Libya",1622440.49920872
438,"LIE","Liechtenstein",161.959554067411
440,"LTU","Lithuania",64857.4107116497
442,"LUX","Luxembourg",2561.98414047802
446,"MAC","Macao",27.3319767174037
450,"MDG","Madagascar",594541.182869515
454,"MWI","Malawi",118746.511345417
458,"MYS","Malaysia",331533.681831481
462,"MDV","Maldives",301.723362067899
466,"MLI","Mali",1257122.04682426
470,"MLT","Malta",326.037548011261
584,"MHL","Marshall Islands",303.05650557988
478,"MRT","Mauritania",1046448.67590913
480,"MUS","Mauritius",2037.83451221195
484,"MEX","Mexico",1960837.92155291
583,"FSM","Micronesia",779.915284732659
498,"MDA","Moldova",33796.4699634842
492,"MCO","Monaco",2.35545989898329
496,"MNG","Mongolia",1565629.72052052
499,"MNE","Montenegro",13762.2030404639
504,"MAR","Morocco",414726.503451255
508,"MOZ","Mozambique",790926.297076201
104,"MMR","Myanmar",672599.5287505
516,"NAM","Namibia",827939.713765686
520,"NRU","Nauru",22.3003195585058
524,"NPL","Nepal",148211.873400117
528,"NLD","Netherlands",37810.9475436459
540,"NCL","New Caledonia",18918.7684781518
554,"NZL","New Zealand",278459.136727646
558,"NIC","Nicaragua",128998.122147272
562,"NER","Niger",1190149.89928733
566,"NGA","Nigeria",913779.278678327
570,"NIU","Niue",268.084439328972
408,"PRK","North Korea",122815.867442495
807,"MKD","North Macedonia",24941.9419159178
578,"NOR","Norway",323028.05348931
512,"OMN","Oman",310775.715771189
586,"PAK","Pakistan",877132.466607143
585,"PLW","Palau",489.286212155537
591,"PAN","Panama",75587.7715523369
598,"PNG","Papua New Guinea",466857.416046024
600,"PRY","Paraguay",401438.096336798
604,"PER","Peru",1300804.0778719
608,"PHL","Philippines",297672.161644747
616,"POL","Poland",311643.73821317
620,"PRT","Portugal",92322.2386737918
634,"QAT","Qatar",11275.5510636794
178,"COG","Republic of Congo",343953.02480866
642,"ROU","Romania",237112.827148027
643,"RUS","Russia",16883163.0707623
646,"RWA","Rwanda",25429.4894414226
652,"BLM","Saint Barthelemy",24.8428164822848
