"code","iso","country","OZD.raw.1990","OZD.raw.1991","OZD.raw.1992","OZD.raw.1993","OZD.raw.1994","OZD.raw.1995","OZD.raw.1996","OZD.raw.1997","OZD.raw.1998","OZD.raw.1999","OZD.raw.2000","OZD.raw.2001","OZD.raw.2002","OZD.raw.2003","OZD.raw.2004","OZD.raw.2005","OZD.raw.2006","OZD.raw.2007","OZD.raw.2008","OZD.raw.2009","OZD.raw.2010","OZD.raw.2011","OZD.raw.2012","OZD.raw.2013","OZD.raw.2014","OZD.raw.2015","OZD.raw.2016","OZD.raw.2017","OZD.raw.2018","OZD.raw.2019"
4,"AFG","Afghanistan",127.5845,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.4674,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.8063,NA,NA,NA,NA,96.5498,NA,NA,NA,93.9752
8,"ALB","Albania",72.4378,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9714,NA,NA,NA,NA,12.2563,NA,NA,NA,8
12,"DZA","Algeria",44.9209,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5458,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9765,NA,NA,NA,NA,37.291,NA,NA,NA,36.9918
20,"AND","Andorra",33.8746,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9759,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5831,NA,NA,NA,NA,31.8602,NA,NA,NA,28.5399
24,"AGO","Angola",85.2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1536,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.344,NA,NA,NA,NA,38.1275,NA,NA,NA,34.5991
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347,NA,NA,NA,NA,0.0812,NA,NA,NA,0.0161
32,"ARG","Argentina",11.9117,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4404,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4201,NA,NA,NA,NA,11.6699,NA,NA,NA,15.3208
51,"ARM","Armenia",71.2808,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6724,NA,NA,NA,NA,52.4089,NA,NA,NA,55.5908
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,2.81,NA,NA,NA,3.67
40,"AUT","Austria",20.6844,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1448,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1215,NA,NA,NA,NA,23.1041,NA,NA,NA,22.2262
31,"AZE","Azerbaijan",47.6173,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2267,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2163,NA,NA,NA,NA,34.2887,NA,NA,NA,37.2141
44,"BHS","Bahamas",6.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2535,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.32,NA,NA,NA,NA,6.37,NA,NA,NA,5.55
48,"BHR","Bahrain",116.8406,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.7517,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.3569,NA,NA,NA,NA,61.3732,NA,NA,NA,65.8288
50,"BGD","Bangladesh",180.8182,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.4809,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.0781,NA,NA,NA,NA,131.6727,NA,NA,NA,145.7766
52,"BRB","Barbados",2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,0.0743,NA,NA,NA,0.0383
112,"BLR","Belarus",42.5891,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2477,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0455,NA,NA,NA,NA,10.2389,NA,NA,NA,8.74
56,"BEL","Belgium",19.7256,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7418,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6373,NA,NA,NA,NA,18.469,NA,NA,NA,18.2221
84,"BLZ","Belize",14.6268,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9849,NA,NA,NA,NA,12.2584,NA,NA,NA,15.4372
204,"BEN","Benin",38.2222,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5058,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4988,NA,NA,NA,NA,49.5403,NA,NA,NA,52.6318
60,"BMU","Bermuda",28.2538,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3506,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0577,NA,NA,NA,NA,12.5917,NA,NA,NA,10.72
64,"BTN","Bhutan",207.0981,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.8848,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.4428,NA,NA,NA,NA,202.7171,NA,NA,NA,218.2432
68,"BOL","Bolivia",21.3056,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.31,NA,NA,NA,NA,13.6716,NA,NA,NA,25.5347
70,"BIH","Bosnia and Herzegovina",55.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9299,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8821,NA,NA,NA,NA,23.8699,NA,NA,NA,24.0055
72,"BWA","Botswana",38.4461,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8117,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5109,NA,NA,NA,NA,34.2541,NA,NA,NA,41.0895
76,"BRA","Brazil",20.2761,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5714,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3178,NA,NA,NA,NA,18.8584,NA,NA,NA,27.1991
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.43,NA,NA,NA,NA,7.22,NA,NA,NA,6.07
100,"BGR","Bulgaria",56.8936,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1478,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6141,NA,NA,NA,NA,22.127,NA,NA,NA,18.2311
854,"BFA","Burkina Faso",19.2546,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6977,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4898,NA,NA,NA,NA,25.7116,NA,NA,NA,29.1387
108,"BDI","Burundi",36.1289,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4849,NA,NA,NA,NA,46.1152,NA,NA,NA,62.0904
132,"CPV","Cabo Verde",14.9086,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.99,NA,NA,NA,NA,11.3219,NA,NA,NA,13.5661
116,"KHM","Cambodia",10.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.972,NA,NA,NA,NA,27.706,NA,NA,NA,29.1786
120,"CMR","Cameroon",47.0389,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7332,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5578,NA,NA,NA,NA,39.5511,NA,NA,NA,45.5712
124,"CAN","Canada",15.3403,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9194,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5155,NA,NA,NA,NA,12.6591,NA,NA,NA,12.0022
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",149.8575,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.4764,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.0189,NA,NA,NA,NA,100.9086,NA,NA,NA,120.7945
148,"TCD","Chad",44.9636,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4004,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.327,NA,NA,NA,NA,44.3529,NA,NA,NA,48.7458
152,"CHL","Chile",14.7683,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9927,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,7.41,NA,NA,NA,7.14
156,"CHN","China",280.5552,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.4382,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.1756,NA,NA,NA,NA,94.7304,NA,NA,NA,77.1446
170,"COL","Colombia",10.7364,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0668,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98,NA,NA,NA,NA,5.48,NA,NA,NA,6.98
174,"COM","Comoros",1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,6.53,NA,NA,NA,8.03
184,"COK","Cook Islands",18.7149,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0337,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9224,NA,NA,NA,NA,10.1909,NA,NA,NA,8.3
188,"CRI","Costa Rica",9.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98,NA,NA,NA,NA,5.2,NA,NA,NA,7.62
384,"CIV","Cote d'Ivoire",16.6986,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9834,NA,NA,NA,NA,27.0337,NA,NA,NA,31.1562
191,"HRV","Croatia",29.7202,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8092,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2692,NA,NA,NA,NA,27.6474,NA,NA,NA,26.5952
192,"CUB","Cuba",7.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8467,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1583,NA,NA,NA,NA,11.9448,NA,NA,NA,9.94
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",65.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4872,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1898,NA,NA,NA,NA,37.3271,NA,NA,NA,35.0964
203,"CZE","Czech Republic",28.3238,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0658,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9922,NA,NA,NA,NA,26.3394,NA,NA,NA,24.1547
180,"COD","Dem. Rep. Congo",57.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4873,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2171,NA,NA,NA,NA,57.7576,NA,NA,NA,71.3554
208,"DNK","Denmark",21.0919,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8728,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9334,NA,NA,NA,NA,24.3058,NA,NA,NA,21.1638
262,"DJI","Djibouti",15.6506,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4067,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.927,NA,NA,NA,NA,22.2175,NA,NA,NA,27.925
212,"DMA","Dominica",5.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,NA,NA,NA,NA,0.624,NA,NA,NA,0.258
214,"DOM","Dominican Republic",8.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.51,NA,NA,NA,NA,7.09,NA,NA,NA,6.68
218,"ECU","Ecuador",4.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57,NA,NA,NA,NA,3.55,NA,NA,NA,5.74
818,"EGY","Egypt",68.8949,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5179,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.1204,NA,NA,NA,NA,64.5951,NA,NA,NA,59.5969
222,"SLV","El Salvador",25.2763,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6821,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42,NA,NA,NA,NA,11.9961,NA,NA,NA,14.6031
226,"GNQ","Equatorial Guinea",14.0006,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.07,NA,NA,NA,NA,23.0212,NA,NA,NA,30.2866
232,"ERI","Eritrea",43.4153,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7472,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.0054,NA,NA,NA,NA,42.9314,NA,NA,NA,42.9501
233,"EST","Estonia",6.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.96,NA,NA,NA,NA,4.87,NA,NA,NA,4.05
748,"SWZ","Eswatini",19.6129,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0245,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3015,NA,NA,NA,NA,28.6384,NA,NA,NA,38.5247
231,"ETH","Ethiopia",42.1269,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2709,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5838,NA,NA,NA,NA,29.5027,NA,NA,NA,36.3741
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08,NA,NA,NA,NA,2.94,NA,NA,NA,3.65
246,"FIN","Finland",4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,5.1,NA,NA,NA,3.38
