"code","iso","country","RQU.raw.1996","RQU.raw.1998","RQU.raw.2000","RQU.raw.2002","RQU.raw.2003","RQU.raw.2004","RQU.raw.2005","RQU.raw.2006","RQU.raw.2007","RQU.raw.2008","RQU.raw.2009","RQU.raw.2010","RQU.raw.2011","RQU.raw.2012","RQU.raw.2013","RQU.raw.2014","RQU.raw.2015","RQU.raw.2016","RQU.raw.2017","RQU.raw.2018"
4,"AFG","Afghanistan",-2.09033,-2.087256,-2.109626,-1.804449,-1.430002,-1.505863,-1.637369,-1.667902,-1.688257,-1.621583,-1.674311,-1.532861,-1.540586,-1.193118,-1.193137,-1.118182,-0.9973711,-1.327688,-1.339227,-1.132634
8,"ALB","Albania",-0.4744017,-0.1730493,-0.2543595,-0.2246936,-0.4475814,-0.1657453,-0.3718735,-0.1017605,0.0606124,0.1475397,0.2382841,0.2294774,0.232936,0.1991688,0.2097187,0.2219903,0.1866678,0.1890221,0.223032,0.2817102
12,"DZA","Algeria",-0.9074373,-0.7448142,-0.7053858,-0.5834717,-0.5172341,-0.5441265,-0.3833986,-0.5715542,-0.622034,-0.7946138,-1.073803,-1.171034,-1.189574,-1.276868,-1.16597,-1.282962,-1.173605,-1.171879,-1.196304,-1.263752
20,"AND","Andorra",1.26644,1.300701,1.276005,1.468842,1.447286,1.424216,1.360657,1.350138,1.377706,1.398468,1.408183,1.391692,1.617491,1.568978,1.567499,0.8850665,0.9129404,0.8714429,1.207127,1.187921
24,"AGO","Angola",-1.415345,-1.689659,-1.799331,-1.46316,-1.212144,-1.251539,-1.257796,-1.132907,-1.02466,-1.065344,-1.031473,-1.035929,-1.097776,-0.9697781,-1.054224,-0.9884589,-0.9091855,-1.00138,-1.044177,-0.999813
660,"AIA","Anguilla",NA,NA,NA,NA,NA,0.9169039,1.113491,1.350138,1.377706,1.398468,1.408183,1.391692,1.372053,1.327829,1.327262,0.8850665,0.9129404,0.8714429,0.8418499,0.8194681
28,"ATG","Antigua and Barbuda",0.7869012,0.8167071,0.7923433,0.7359084,0.7157142,0.5910869,0.587315,0.5481927,0.5313625,0.6425917,0.6548098,0.6446683,0.6357366,0.6043823,0.6065512,0.5329666,0.3740782,0.3414612,0.2512497,0.411548
32,"ARG","Argentina",0.5180674,0.5708775,0.2572446,-0.9190252,-0.7089257,-0.7137598,-0.5483672,-0.6406317,-0.6682156,-0.7375205,-0.8450356,-0.7623686,-0.7222099,-0.9292172,-0.957261,-1.074257,-0.9114419,-0.4696253,-0.2911722,-0.2430697
51,"ARM","Armenia",-0.2827645,-0.0649073,-0.1165632,0.0394886,0.2097894,0.1291029,0.0834767,0.2846058,0.271804,0.3378677,0.2962559,0.3094823,0.2732067,0.349337,0.252607,0.2134245,0.2418069,0.2500556,0.2804864,0.2692558
533,"ABW","Aruba",NA,NA,NA,NA,NA,0.7719577,0.8663251,0.85605,0.877562,0.8945503,1.291655,1.347078,1.32283,1.408916,1.429111,1.250432,1.371496,1.347553,1.191759,0.853144
36,"AUS","Australia",1.367597,1.491512,1.637249,1.467519,1.607837,1.721607,1.600643,1.623903,1.683095,1.765919,1.819984,1.698415,1.858609,1.786468,1.800868,1.863708,1.788684,1.896966,1.930234,1.929283
40,"AUT","Austria",1.658712,1.403709,1.534618,1.58584,1.569717,1.524203,1.606079,1.644535,1.690031,1.606344,1.452587,1.452815,1.382634,1.524189,1.490679,1.48773,1.403266,1.440436,1.437395,1.544717
31,"AZE","Azerbaijan",-1.196309,-0.9756591,-0.9318838,-0.7069774,-0.5656479,-0.5902202,-0.5777211,-0.5232428,-0.4590306,-0.354921,-0.3080575,-0.3723761,-0.3719663,-0.4555908,-0.4083123,-0.2771416,-0.2547193,-0.2820228,-0.2456636,-0.3807242
44,"BHS","Bahamas",0.9677236,1.061407,1.193974,1.342486,1.186557,1.133929,1.106881,1.051078,1.028625,1.052687,0.8027678,0.5507844,0.5280252,0.3950239,0.1900627,0.1719736,0.1661729,0.2575893,0.1213075,0.1511079
48,"BHR","Bahrain",0.7904871,0.8064877,0.7893434,0.9075058,0.6542107,0.7115225,0.6620233,0.6833447,0.7653286,0.7110434,0.6942499,0.7138977,0.7209967,0.6894466,0.6073823,0.7084731,0.8196669,0.6082391,0.4145159,0.4460675
50,"BGD","Bangladesh",-0.9298178,-0.8105724,-0.8357115,-0.9786172,-0.916686,-1.126801,-1.072006,-1.001249,-0.9456931,-0.9163275,-0.8645244,-0.8470868,-0.8115228,-0.951405,-0.9147804,-0.9375781,-0.8990583,-0.7966801,-0.8072466,-0.8262727
52,"BRB","Barbados",1.288828,1.3405,1.308765,1.125082,1.15479,1.088803,1.155897,1.00106,1.080872,0.8809694,0.5863398,0.5074166,0.6473415,0.4534954,0.4570413,0.3385934,0.5658875,0.4810649,0.4926966,0.5401858
112,"BLR","Belarus",-1.093997,-1.768959,-1.701348,-1.527505,-1.300569,-1.218654,-1.454486,-1.622619,-1.425799,-1.237736,-1.121109,-1.131118,-1.177444,-1.069632,-1.068252,-1.008514,-0.9935866,-0.9412614,-0.736168,-0.6600578
56,"BEL","Belgium",1.214232,1.054902,1.204084,1.298516,1.314252,1.356272,1.272992,1.330316,1.419906,1.40555,1.312602,1.28502,1.241629,1.22858,1.291454,1.157765,1.287759,1.340684,1.24425,1.233861
84,"BLZ","Belize",0.1430119,0.138359,0.0207736,0.0155745,0.1178235,-0.1599605,0.0088224,-0.3449018,-0.4116923,-0.4427845,-0.4385273,-0.4103881,-0.5138005,-0.4732476,-0.4844147,-0.4965478,-0.4634508,-0.5123594,-0.5374851,-0.6593263
204,"BEN","Benin",-0.1763183,-0.1335503,-0.1743795,-0.4033242,-0.4779921,-0.4847811,-0.6539117,-0.4275719,-0.4441905,-0.4972941,-0.3465346,-0.3335557,-0.3462625,-0.3786036,-0.4007843,-0.5859138,-0.5630289,-0.5278944,-0.4722349,-0.3391147
60,"BMU","Bermuda",1.506209,1.542698,1.517836,1.468842,1.447286,1.448373,1.360657,1.350138,1.377706,1.398468,1.408183,1.391692,1.372053,1.327829,1.327262,0.8850665,0.9129404,0.8714429,0.8418499,0.8194681
64,"BTN","Bhutan",-0.4119453,-0.3835604,-0.341934,-0.4179625,0.0334465,-0.819621,-0.2806116,-0.567003,-0.6922845,-0.7493685,-1.07056,-1.169393,-1.154382,-1.086905,-1.078863,-0.9980033,-0.7134356,-0.6651375,-0.3324665,-0.3346259
68,"BOL","Bolivia",0.0049688,0.1856382,0.035398,-0.0592883,-0.0844885,-0.2028167,-0.6925678,-0.8880664,-0.9819081,-0.8709679,-0.8793064,-0.802755,-0.7557204,-0.8235803,-0.7768504,-0.8702523,-0.8858231,-0.9240948,-0.8986728,-0.8945125
70,"BIH","Bosnia and Herzegovina",-0.9107713,-0.8743529,-0.4991479,-0.5564302,-0.4817312,-0.208252,-0.5762483,-0.4643262,-0.2771055,-0.1511758,-0.0913915,-0.0880334,-0.0335498,-0.0513644,-0.0659818,-0.0898658,-0.1956575,-0.1666478,-0.1498013,-0.2064383
72,"BWA","Botswana",0.6507294,0.6752,0.6290287,0.7811234,0.7945626,0.6598923,0.6679586,0.5266036,0.4639552,0.4948993,0.4851633,0.4557317,0.4938449,0.6109335,0.5811184,0.5850612,0.4388786,0.5284874,0.464532,0.454911
76,"BRA","Brazil",0.2969333,0.3646649,0.3616906,0.2966394,0.3096195,0.0334402,0.0392087,-0.0324615,-0.0254311,0.0539286,0.0994606,0.1524443,0.1653361,0.0939019,0.0734235,-0.0781973,-0.1926553,-0.2073155,-0.1144198,-0.3132748
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",1.348304,0.9386868,0.9879685,1.093588,1.033847,1.205879,0.9124033,0.9364097,0.9862139,0.7837868,1.087068,1.110249,1.154296,1.151749,1.105576,0.9851288,0.852387,0.5933974,0.7154635,0.685179
100,"BGR","Bulgaria",-0.1844347,0.0412437,0.1969915,0.5617083,0.6483253,0.6629305,0.6437926,0.5968993,0.6287009,0.6973,0.6694661,0.6495608,0.5438341,0.5632586,0.5389014,0.568319,0.5637681,0.6585177,0.6258,0.5765803
854,"BFA","Burkina Faso",-0.2952701,-0.3656994,-0.1165311,-0.1145192,-0.3026677,-0.3306739,-0.4010216,-0.3436106,-0.2646435,-0.1939826,-0.1119205,-0.156401,-0.179535,-0.1188603,-0.1749993,-0.3089368,-0.3713624,-0.3973829,-0.4435385,-0.3863249
108,"BDI","Burundi",-1.641465,-1.544064,-1.172062,-1.263124,-1.172414,-1.196419,-1.364591,-1.202598,-1.244897,-1.243566,-1.155625,-1.115116,-1.012377,-0.9454027,-0.8779285,-0.7070148,-0.7104732,-0.8252589,-0.8360441,-0.982583
132,"CPV","Cabo Verde",-0.5322676,-0.1578125,0.0276704,-0.2386135,-0.1854206,-0.3214182,-0.3215024,-0.1844269,-0.1843312,-0.0399444,0.040309,-0.0326268,0.0736227,0.056366,-0.1007206,-0.1838116,-0.2646035,-0.2960399,-0.2044774,-0.2411533
116,"KHM","Cambodia",-0.2279684,-0.2412849,-0.1867374,-0.3118794,-0.4549186,-0.5114569,-0.5291467,-0.612581,-0.4819401,-0.4464538,-0.4859722,-0.4753461,-0.5836288,-0.3413971,-0.3383653,-0.4231628,-0.5250493,-0.4652204,-0.5029378,-0.5049168
120,"CMR","Cameroon",-1.122349,-0.6186677,-0.5900958,-0.8739079,-0.839056,-0.6915929,-0.9296345,-0.8483388,-0.8477936,-0.8271499,-0.7615821,-0.7441876,-0.8069494,-0.9286842,-0.9374695,-0.8845948,-0.9170986,-0.7898978,-0.8227918,-0.7993764
124,"CAN","Canada",1.488291,1.598478,1.523343,1.58165,1.557192,1.62667,1.566931,1.55885,1.605411,1.650838,1.699475,1.695867,1.691034,1.714616,1.739304,1.845022,1.717661,1.73882,1.886527,1.665293
