"code","iso","country","SPI.raw.1980","SPI.raw.1981","SPI.raw.1982","SPI.raw.1983","SPI.raw.1984","SPI.raw.1985","SPI.raw.1986","SPI.raw.1987","SPI.raw.1988","SPI.raw.1989","SPI.raw.1990","SPI.raw.1991","SPI.raw.1992","SPI.raw.1993","SPI.raw.1994","SPI.raw.1995","SPI.raw.1996","SPI.raw.1997","SPI.raw.1998","SPI.raw.1999","SPI.raw.2000","SPI.raw.2001","SPI.raw.2002","SPI.raw.2003","SPI.raw.2004","SPI.raw.2005","SPI.raw.2006","SPI.raw.2007","SPI.raw.2008","SPI.raw.2009","SPI.raw.2010","SPI.raw.2011","SPI.raw.2012","SPI.raw.2013","SPI.raw.2014","SPI.raw.2015","SPI.raw.2016","SPI.raw.2017","SPI.raw.2018","SPI.raw.2019"
4,"AFG","Afghanistan",8.83044646904737,8.83044646904737,8.83044646904737,10.6883130129112,10.6883130129112,10.6883130129112,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187
8,"ALB","Albania",28.8786012958839,28.8786012958839,28.8786012958839,28.8786012958839,28.8786012958839,28.8786012958839,28.8786012958839,28.8786012958839,28.8786012958839,28.8786012958839,28.8786012958839,28.8786012958839,28.8786012958839,28.8786012958839,28.8786012958839,29.2852389647677,45.4227709728664,46.0416862958335,46.0416862958335,53.5332007954188,53.5332007954188,53.5332007954188,54.1113994857732,54.1113994857732,54.1113994857732,72.4790727930887,76.2594703491371,79.7298522872325,85.0114910012527,85.0114910012527,86.0792112264604,87.2172702858627,88.4898738496651,90.7186011139444,90.7186011139444,90.7186011139444,90.7186011139444,90.7186011139444,92.1638455184854,92.1638455184854
12,"DZA","Algeria",31.9153677003411,31.9153677003411,31.9153677003411,40.3310699938228,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,47.275039712787,47.275039712787,47.275039712787,47.275039712787,47.275039712787,47.275039712787,47.275039712787,47.275039712787
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",66.619554109129,66.619554109129,66.619554109129,66.619554109129,66.619554109129,66.619554109129,66.619554109129,66.619554109129,66.619554109129,66.619554109129,66.619554109129,66.619554109129,66.6215078642781,66.6215078642781,66.6215078642781,66.6215078642781,66.6215078642781,66.6215078642781,66.6215078642781,66.6215078642781,66.6215078642781,66.6217275039245,66.6217275039245,66.6217275039245,66.6221143436013,66.6236110141749,66.6244761235338,66.6257561539326,66.6257561539326,66.6258587692549,66.6258587692549,66.6258587692549,66.6260253635766,66.6261365508934,66.6261365508934,66.6261365508934,66.6261365508934,66.6261365508934,66.6261365508934,66.6261365508934
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",34.8730333225614,34.9532998738678,42.9816728938255,44.4063374244285,44.4063374244285,44.7301217536153,47.7856864485025,47.8146682154885,48.2212829869409,48.4889954745341,48.6902653139535,48.8928191677749,49.3592247041361,49.810760113213,52.2840620335708,53.1947004711961,54.3504156821825,55.5627393372342,55.7177598945563,57.2842438340152,59.2891605429396,59.5158628789695,59.9400081914348,61.363581538653,61.6815052749532,62.3471852603196,62.7049464095673,62.7280551661632,62.7608703346608,62.8091332187296,62.8157352777031,62.9550572070017,63.0651914797724,63.0848423625119,63.2535046452154,63.4856613776706,63.493838629229,63.5932031646995,64.2749151809361,64.2749151809361
51,"ARM","Armenia",60.8975429525699,60.9242383226496,60.9242383226496,60.9242383226496,60.9242383226496,60.9242383226496,60.9242383226496,60.9688379997329,60.9688379997329,61.048961116231,61.048961116231,61.048961116231,61.048961116231,61.0721812999941,61.0721812999941,61.0721812999941,61.0721812999941,61.0721812999941,61.0721812999941,61.0721812999941,61.0721812999941,61.0941276436199,67.4894897415969,67.8842670163919,67.8842670163919,67.8842670163919,67.8842670163919,68.0008976699684,68.0008976699684,74.2260800310306,74.2260800310306,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
