"code","iso","country","TCC.raw.2001","TCC.raw.2002","TCC.raw.2003","TCC.raw.2004","TCC.raw.2005","TCC.raw.2006","TCC.raw.2007","TCC.raw.2008","TCC.raw.2009","TCC.raw.2010","TCC.raw.2011","TCC.raw.2012","TCC.raw.2013","TCC.raw.2014","TCC.raw.2015","TCC.raw.2016","TCC.raw.2017","TCC.raw.2018"
4,"AFG","Afghanistan",83,177,243,202,235,151,253,108,69,86,108,36,0,1,0,0,0,25
8,"ALB","Albania",3742,893,613,3250,696,964,5249,5494,1343,658,1191,5415,2579,1057,284,934,1695,2056
12,"DZA","Algeria",3464,3010,3830,4395,4471,5437,5221,8023,10550,2597,8409,10988,6968,9588,5740,8069,46356,5800
20,"AND","Andorra",2,0,0,22,2,6,1,5,2,1,0,7,3,1,2,0,4,15
24,"AGO","Angola",101322,61089,52510,71315,93515,76998,145409,103653,166109,159944,183111,180921,169001,212873,161864,229915,280727,242788
660,"AIA","Anguilla",4,0,1,9,4,1,9,10,2,0,1,2,1,0,0,0,1,0
28,"ATG","Antigua and Barbuda",23,19,18,26,62,62,37,47,61,18,26,33,22,25,9,14,72,163
32,"ARG","Argentina",147934,105098,249473,433858,367575,316764,425808,593275,310081,413514,499628,478680,377286,241349,180436,230369,234146,173123
51,"ARM","Armenia",130,174,396,83,104,131,54,115,203,162,173,201,41,38,2,30,42,6
533,"ABW","Aruba",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"AUS","Australia",219024,312285,374316,124934,177166,186461,373870,205920,204102,290979,121497,139961,260394,282105,261732,431325,237175,251345
40,"AUT","Austria",6946,10931,14503,14640,21710,12615,31770,26954,15941,16760,18137,11187,7668,9897,7965,17256,18446,26396
31,"AZE","Azerbaijan",553,1153,1039,586,243,527,506,469,368,551,148,596,150,326,26,24,77,76
44,"BHS","Bahamas",433,702,274,591,1450,1018,605,1949,824,402,623,371,1572,902,1087,3136,3705,912
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",4604,4004,2161,4295,3296,6878,4012,4485,5635,4685,4197,5370,6027,12072,12621,21227,28421,19366
52,"BRB","Barbados",13,11,2,7,10,3,32,14,13,17,18,119,5,1,2,14,16,23
112,"BLR","Belarus",18401,25442,32208,38677,36272,42353,32724,35977,35624,35819,45459,39667,28140,33688,33966,90703,78952,87627
56,"BEL","Belgium",973,2351,1891,4801,3035,6928,5996,7227,5184,10929,5021,5645,3322,4244,3423,4520,4143,4639
84,"BLZ","Belize",8218,13483,6851,4315,8111,4273,12276,8231,10280,9778,26428,11538,16392,16496,12289,20533,16383,11178
204,"BEN","Benin",3755,3484,3478,685,1593,1798,4670,480,4941,531,658,2871,1314,1361,596,2020,2240,1831
60,"BMU","Bermuda",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
64,"BTN","Bhutan",292,223,541,1025,772,622,500,778,1188,4373,1093,767,476,1227,743,1979,1978,1247
68,"BOL","Bolivia",140476,178973,163981,203433,251018,216544,190166,370136,225441,452012,330495,273783,179998,257220,166447,470894,463525,302065
70,"BIH","Bosnia and Herzegovina",1501,692,307,4134,579,535,2685,1556,1301,908,974,2437,2582,1793,583,2314,1346,2679
72,"BWA","Botswana",131,21,8,50,48,40,32,25,41,31,22,14,13,16,0,1,1,3
76,"BRA","Brazil",2750399,3511492,3252334,3852915,3491031,2881038,2625890,2448311,1820738,2693234,1926498,2923506,1949096,2698139,2226546,5387136,4528439,2954272
92,"VGB","British Virgin Islands",4,3,2,3,4,3,6,7,5,4,15,1,2,0,0,3,229,6
96,"BRN","Brunei Darussalam",1252,1093,805,1205,1285,1016,1570,1308,2188,972,2646,1852,895,2235,1779,2592,951,812
100,"BGR","Bulgaria",8239,4657,5215,8200,6595,5195,9582,6472,6114,3581,3342,10023,3709,6712,7322,7415,7717,9794
854,"BFA","Burkina Faso",58,4,2,7,17,2,2,4,4,7,15,0,0,0,0,0,0,0
108,"BDI","Burundi",1429,993,1335,616,985,343,1881,2008,884,1910,970,875,1413,2057,1463,1594,1788,2895
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",28546,54950,56953,79388,64788,80693,77849,83657,121274,238325,192517,195962,190475,162103,132954,182782,118585,113396
120,"CMR","Cameroon",39242,28798,25385,23023,25184,36033,45958,35191,36106,58062,27679,51307,84690,182058,79043,116712,187442,120932
124,"CAN","Canada",1358644,2317637,1607863,2707385,2921760,2406936,2118625,1949548,1550855,2105577,2161446,2546188,2808178,2644224,2734121,2085149,2560515,2143626
136,"CYM","Cayman Islands",22,7,6,47,9,18,18,33,30,40,40,9,19,7,0,70,74,42
140,"CAF","Central African Republic",31306,34446,13741,14599,29345,57928,37336,31887,48283,48590,49176,57355,44220,57900,27338,51192,63967,40950
148,"TCD","Chad",882,1960,191,455,472,2986,1002,3401,1066,254,921,2492,2897,3005,2593,3168,6773,6937
152,"CHL","Chile",72767,78151,82926,85812,107033,92000,121749,123173,88617,91579,99444,175009,102362,119430,106190,114038,215103,76983
156,"CHN","China",230498,249359,261923,501925,383943,575829,653604,738758,600149,628458,599198,605639,441822,532165,490948,719479,644833,570044
170,"COL","Colombia",230619,182610,122692,254405,189158,190412,269551,232356,238474,197497,190267,228234,139149,202420,141139,291536,425780,353055
174,"COM","Comoros",37,42,27,40,87,13,78,34,112,93,122,128,1730,1473,430,124,308,219
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",15507,13334,8279,9795,16605,10091,11472,21924,22524,13181,10531,10391,7803,10963,3307,13817,22141,12372
384,"CIV","Cote d'Ivoire",122835,144698,86360,48089,65389,97854,90948,127675,108961,92576,124765,96190,175882,347082,152563,221309,357581,325008
191,"HRV","Croatia",3409,2346,1731,6767,2764,2213,3249,3904,2913,3513,2928,5025,3009,4576,2666,5416,5879,8325
192,"CUB","Cuba",19001,15067,6571,22025,12859,12326,7890,17122,16290,8635,16359,10364,6088,5876,6738,74222,77004,14989
531,"CUW","Curacao",1,1,1,1,1,3,4,5,5,2,2,7,6,2,1,2,1,1
196,"CYP","Cyprus",78,31,25,87,35,58,778,94,57,63,119,54,14,32,20,570,437,32
203,"CZE","Czech Republic",3470,6788,3938,13497,25634,8634,21387,16921,13550,15482,21916,14041,7683,13972,8065,22873,26572,39292
180,"COD","Dem. Rep. Congo",455888,514883,274970,400358,485694,453541,463231,405159,635776,811378,429877,631523,921332,1339040,928827,1382372,1469174,1374906
208,"DNK","Denmark",4341,1207,1582,2420,9075,5223,4394,6078,6671,4436,3140,4460,2018,5335,2590,4670,4377,3168
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"DMA","Dominica",22,11,28,78,52,25,41,95,74,91,45,145,23,12,1,7,23399,787
214,"DOM","Dominican Republic",11304,10486,10761,19476,25193,13470,16143,21723,14019,14161,13015,17986,12754,13746,15155,25006,27183,14036
218,"ECU","Ecuador",45092,29875,13873,37321,40464,35679,60671,51989,57786,33821,43706,74359,48450,30955,30116,44099,71207,38761
818,"EGY","Egypt",141,42,58,99,51,35,72,79,58,93,96,439,97,111,30,34,57,65
222,"SLV","El Salvador",9583,4707,6041,4587,5931,4653,3002,3357,4321,2902,3275,2547,2067,2342,2401,5793,4788,2725
226,"GNQ","Equatorial Guinea",3594,2994,1967,421,1615,1256,3150,4826,5694,6600,7722,4962,7302,19275,7482,9571,11969,7840
232,"ERI","Eritrea",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"EST","Estonia",16961,22012,5656,18194,14894,21857,16270,18386,18931,21610,27327,17758,17163,23675,25530,36515,39077,40254
748,"SWZ","Eswatini",6755,3808,5782,5383,4556,9450,6483,4605,10671,6687,2636,3543,3140,4993,3237,4826,6401,1930
231,"ETH","Ethiopia",11955,13081,13944,13403,15888,12080,25624,24032,29306,20198,15481,41698,30880,32756,10288,19598,35446,18909
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,"FJI","Fiji",1098,705,1575,2089,1668,1875,2151,2388,1791,2348,554,1223,2702,3693,1843,8386,3094,1367
246,"FIN","Finland",151114,142533,89756,146692,230483,182418,152018,200329,176427,167635,159471,160434,148755,186745,172783,240595,336432,270144
250,"FRA","France",34466,33923,26412,76217,46437,55117,49314,87058,67116,143367,64130,67384,30391,44406,37336,60844,69334,69296
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",15101,13870,16859,9989,17710,19317,16521,17382,18268,10684,18174,17485,44484,48788,25496,32206,38682,26810
270,"GMB","Gambia",3,39,9,62,4,5,50,299,8,23,30,41,12,17,9,4,8,6
268,"GEO","Georgia",666,543,291,1972,549,535,993,749,451,820,540,472,248,110,40,528,207,297
276,"DEU","Germany",15347,15366,6476,45165,39926,42866,93636,61991,28904,76009,34430,26115,15559,21249,12972,26992,33136,52448
288,"GHA","Ghana",43742,78576,25024,17659,41443,27206,40265,37934,38342,19548,36333,36708,81417,120579,57530,119534,115578,151767
300,"GRC","Greece",12632,5130,2564,6817,4184,7353,46080,21208,6564,7799,6202,13252,5910,3807,3841,6037,8910,7132
304,"GRL","Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"GRD","Grenada",33,67,72,638,48,33,68,64,94,160,41,40,25,84,7,59,27,110
320,"GTM","Guatemala",53456,55744,98348,56600,101000,52699,126814,77370,87146,59816,40689,84270,55294,61991,54299,178851,79940,71370
831,"GGY","Guernsey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,"GIN","Guinea",18588,28962,9239,17173,14598,15320,33866,21504,23422,16063,27662,24520,146367,132864,162021,216284,231880,183094
624,"GNB","Guinea-Bissau",2368,6081,1022,3550,3941,2019,6054,3255,7975,4909,4284,3517,20735,12885,12693,16140,16465,14412
328,"GUY","Guyana",10058,4842,7435,4073,5845,5943,5259,9479,8283,10136,8382,13144,7131,12183,13110,26578,19469,11799
332,"HTI","Haiti",2474,2124,1072,2391,2045,1166,2078,2196,2474,2089,2570,4287,3185,3866,3095,17363,5520,4140
