"code","iso","country","URP.raw.1950","URP.raw.1955","URP.raw.1960","URP.raw.1965","URP.raw.1970","URP.raw.1975","URP.raw.1980","URP.raw.1985","URP.raw.1990","URP.raw.1995","URP.raw.2000","URP.raw.2005","URP.raw.2010","URP.raw.2015","URP.raw.2020","URP.raw.2025","URP.raw.2030","URP.raw.2035","URP.raw.2040","URP.raw.2045"
4,"AFG","Afghanistan",6,7.107,8.401,9.904,11.643,13.641,15.995,18.997,21.177,21.624,22.078,22.703,23.737,24.803,26.026,27.613,29.589,31.978,34.788,37.923
8,"ALB","Albania",20.528,26.864,30.705,31.23,31.74,32.712,33.762,35.083,36.428,38.911,41.741,46.731,52.163,57.434,62.112,66.13,69.484,72.197,74.349,76.335
12,"DZA","Algeria",22.213,26.149,30.51,37.643,39.5,40.33,43.542,47.968,52.085,55.997,59.919,63.83,67.54,70.848,73.733,76.212,78.308,80.049,81.63,83.111
20,"AND","Andorra",38.8,48.568,58.45,70.445,80.155,87.252,92.064,95.159,94.712,93.661,92.395,90.285,88.819,88.345,87.916,87.732,87.812,88.153,88.735,89.497
24,"AGO","Angola",7.576,8.902,10.435,12.504,14.957,19.128,24.298,30.338,37.144,44.169,50.087,56,59.783,63.446,66.825,69.86,72.546,74.889,76.89,78.691
660,"AIA","Anguilla",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
28,"ATG","Antigua and Barbuda",30.065,34.889,39.656,36.61,33.819,34.217,34.618,35.021,35.426,33.961,32.127,29.218,26.238,25,24.433,24.363,24.787,25.722,27.201,29.056
32,"ARG","Argentina",65.339,69.633,73.611,76.369,78.88,80.969,82.887,85.038,86.984,88.164,89.142,90.031,90.849,91.503,92.111,92.693,93.249,93.777,94.276,94.744
51,"ARM","Armenia",40.339,45.951,51.275,55.622,59.864,63.611,66.05,67.09,67.421,66.057,64.666,63.938,63.44,63.085,63.313,64.142,65.548,67.484,69.804,72.083
533,"ABW","Aruba",50.928,50.852,50.776,50.7,50.624,50.548,50.472,50.395,50.319,48.767,46.717,44.875,43.059,43.108,43.697,44.711,46.152,48.021,50.211,52.416
36,"AUS","Australia",77.003,79.357,81.529,83.068,83.999,84.792,85.552,85.582,85.433,84.898,84.235,84.582,85.182,85.701,86.241,86.887,87.623,88.43,89.288,90.153
40,"AUT","Austria",63.596,64.16,64.72,65.011,65.258,65.341,65.391,64.305,62.96,61.596,60.213,58.813,57.399,57.715,58.748,60.122,61.831,63.846,66.118,68.542
31,"AZE","Azerbaijan",45.691,50.026,52.663,51.164,50.008,51.897,52.777,53.498,53.749,52.206,51.386,52.389,53.406,54.714,56.397,58.431,60.779,63.376,66,68.529
44,"BHS","Bahamas",52.086,55.933,59.712,63.343,66.764,70.017,73.102,76.674,79.838,80.961,82.007,82.218,82.427,82.746,83.245,83.91,84.722,85.661,86.64,87.562
48,"BHR","Bahrain",64.4,75.528,82.32,82.5,83.775,84.975,86.101,87.155,88.14,88.388,88.372,88.422,88.634,88.999,89.506,90.133,90.828,91.484,92.096,92.668
50,"BGD","Bangladesh",4.282,4.687,5.135,6.211,7.593,9.836,14.851,17.496,19.811,21.693,23.59,26.809,30.462,34.308,38.177,41.982,45.634,49.038,52.178,55.288
52,"BRB","Barbados",36.053,36.414,36.777,37.141,37.55,38.855,40.102,38.736,37.37,35.566,33.827,32.841,31.87,31.249,31.191,31.694,32.772,34.45,36.524,38.649
112,"BLR","Belarus",26.234,28.853,32.401,38.127,44.01,50.614,56.498,61.833,65.981,67.926,69.973,72.354,74.672,77.181,79.483,81.509,83.275,84.805,86.119,87.245
56,"BEL","Belgium",91.466,91.977,92.46,93.137,93.843,94.48,95.381,95.93,96.377,96.777,97.129,97.403,97.651,97.876,98.079,98.258,98.416,98.555,98.678,98.787
84,"BLZ","Belize",55.288,54.681,54.028,52.481,50.963,50.171,49.374,48.419,47.465,46.425,45.398,45.313,45.228,45.406,46.025,47.085,48.588,50.529,52.725,54.911
204,"BEN","Benin",4.957,6.804,9.275,12.519,16.691,21.904,27.339,30.796,34.485,36.758,38.333,40.543,43.093,45.695,48.415,51.241,54.138,57.059,59.931,62.73
60,"BMU","Bermuda",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
64,"BTN","Bhutan",2.1,2.751,3.596,4.687,6.089,7.876,10.132,12.941,16.388,20.537,25.418,30.965,34.793,38.678,42.316,45.636,48.583,51.121,53.328,55.505
68,"BOL","Bolivia",33.848,35.291,36.762,38.257,39.776,41.314,45.451,50.519,55.577,59.15,61.787,64.17,66.43,68.393,70.123,71.905,73.721,75.548,77.357,79.107
70,"BIH","Bosnia and Herzegovina",13.665,16.173,19.04,22.817,27.201,31.288,35.543,37.589,39.249,40.817,42.384,43.965,45.558,47.173,49.02,51.159,53.57,56.218,59.037,61.864
72,"BWA","Botswana",2.716,2.883,3.06,3.839,7.834,11.884,16.479,26.724,41.933,48.981,53.219,55.944,62.412,67.155,70.877,74.093,76.822,79.103,80.976,82.504
76,"BRA","Brazil",36.16,41.057,46.139,51.037,55.909,60.789,65.468,69.862,73.922,77.61,81.192,82.834,84.335,85.77,87.073,88.238,89.278,90.201,91.017,91.748
92,"VGB","British Virgin Islands",11.228,11.687,12.228,14.287,16.635,19.47,22.741,29.728,37.814,40.413,41.774,43.21,44.814,46.583,48.515,50.599,52.787,54.971,57.135,59.272
96,"BRN","Brunei Darussalam",26.756,34.608,43.401,52.625,61.675,64.193,64.949,65.697,66.438,68.644,71.164,73.163,74.961,76.663,78.25,79.726,81.093,82.355,83.525,84.631
100,"BGR","Bulgaria",27.583,32.213,37.1,45.755,52.3,57.562,62.1,64.59,66.377,67.782,68.899,70.584,72.302,73.99,75.686,77.373,79.029,80.635,82.16,83.591
854,"BFA","Burkina Faso",3.837,4.247,4.7,5.198,5.746,6.347,8.805,12.334,13.815,15.131,17.844,21.537,24.633,27.53,30.607,33.817,37.115,40.444,43.721,46.932
108,"BDI","Burundi",1.731,1.896,2.077,2.294,2.845,3.525,4.339,5.221,6.271,7.211,8.246,9.375,10.642,12.078,13.708,15.544,17.598,19.859,22.324,25
132,"CPV","Cabo Verde",14.2,15.399,16.679,18.073,19.559,21.419,23.518,31.5,44.12,48.768,53.435,57.689,61.821,64.3,66.652,68.835,70.851,72.703,74.392,75.959
116,"KHM","Cambodia",10.2,10.242,10.285,10.83,15.97,4.477,9.898,13.931,15.546,17.311,18.586,19.174,20.294,22.188,24.232,26.51,29.034,31.798,34.78,37.913
120,"CMR","Cameroon",9.333,11.434,13.937,16.88,20.3,27.292,31.921,36.232,39.657,42.573,45.542,48.541,51.559,54.578,57.56,60.464,63.242,65.858,68.377,70.793
124,"CAN","Canada",60.946,65.705,69.061,72.892,75.654,75.611,75.663,76.354,76.582,77.675,79.478,80.122,80.937,81.259,81.562,82.108,82.878,83.843,84.968,86.164
136,"CYM","Cayman Islands",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
