"code","iso","country","VOA.raw.1996","VOA.raw.1998","VOA.raw.2000","VOA.raw.2002","VOA.raw.2003","VOA.raw.2004","VOA.raw.2005","VOA.raw.2006","VOA.raw.2007","VOA.raw.2008","VOA.raw.2009","VOA.raw.2010","VOA.raw.2011","VOA.raw.2012","VOA.raw.2013","VOA.raw.2014","VOA.raw.2015","VOA.raw.2016","VOA.raw.2017","VOA.raw.2018"
4,"AFG","Afghanistan",-1.90854,-2.039301,-2.031417,-1.433421,-1.177571,-1.203034,-1.12543,-1.110294,-1.057654,-1.168902,-1.375497,-1.404468,-1.335977,-1.26743,-1.240068,-1.135445,-1.117563,-1.039843,-0.9924697,-0.9947197
8,"ALB","Albania",-0.6482978,-0.3873729,-0.2851387,-0.0081502,0.0703077,0.0072375,0.0036718,0.0758899,0.1130085,0.1749391,0.1414773,0.1238216,0.0623338,0.0220641,0.0488926,0.1437607,0.1571487,0.1699492,0.202283,0.2063695
12,"DZA","Algeria",-1.16629,-1.244342,-1.110052,-1.04466,-1.076718,-0.8020591,-0.715686,-0.9168755,-0.9841224,-0.9797122,-1.038431,-1.022338,-1.004121,-0.9060266,-0.8933532,-0.8151981,-0.8490695,-0.8631691,-0.9048766,-0.9809838
20,"AND","Andorra",1.563217,1.528759,1.535655,1.437128,1.422262,1.563077,1.528182,1.329979,1.305506,1.325322,1.322938,1.324309,1.360453,1.433838,1.406642,1.165939,1.194477,1.176535,1.160507,1.069589
24,"AGO","Angola",-1.578164,-1.411879,-1.458065,-1.238779,-1.272615,-1.28548,-1.234719,-1.252088,-1.185314,-1.119347,-1.126125,-1.120539,-1.125478,-1.076247,-1.113843,-1.145494,-1.177251,-1.142933,-1.09879,-0.9195936
660,"AIA","Anguilla",NA,NA,NA,NA,NA,0.8544181,0.9037812,1.017273,0.9721289,0.9671982,0.9638122,0.9882845,1.009052,1.025672,1.004767,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",0.3335324,0.3393214,0.3909619,0.3366376,0.3174837,0.5730308,0.5331801,0.6313121,0.543636,0.5739086,0.5894281,0.495849,0.5111747,0.640057,0.6189557,0.5587108,0.5949929,0.6336027,0.6077873,0.618535
32,"ARG","Argentina",0.3919034,0.3088502,0.418347,0.2600628,0.3491253,0.3620409,0.2692317,0.4034365,0.4486213,0.3588959,0.2800475,0.3616894,0.3449418,0.2952099,0.2769879,0.3453205,0.4117876,0.4925631,0.527113,0.5653015
51,"ARM","Armenia",-0.5699091,-0.3355184,-0.3745953,-0.4444211,-0.4674062,-0.5721655,-0.5913633,-0.7422228,-0.7593779,-0.8576297,-0.8764755,-0.847555,-0.6907798,-0.5704914,-0.5880308,-0.5620829,-0.5362934,-0.5793346,-0.5608863,-0.1134583
533,"ABW","Aruba",NA,NA,NA,NA,NA,0.7375207,1.15323,1.017273,0.9721289,0.9671982,1.252344,1.281884,1.273588,1.28465,1.278059,1.276822,1.273942,1.279304,1.294318,1.305925
36,"AUS","Australia",1.440203,1.407491,1.471305,1.407233,1.442128,1.501542,1.507056,1.382795,1.3692,1.368076,1.383792,1.419766,1.453721,1.49919,1.436414,1.361716,1.355591,1.351012,1.384023,1.428148
40,"AUT","Austria",1.44895,1.354779,1.317559,1.307497,1.343882,1.475651,1.378657,1.372685,1.369262,1.358464,1.392846,1.430291,1.402444,1.448773,1.456567,1.391321,1.383533,1.337417,1.342785,1.380672
31,"AZE","Azerbaijan",-1.121031,-1.022841,-0.906229,-0.9812882,-1.044705,-1.056702,-1.124164,-1.279161,-1.233397,-1.325132,-1.259756,-1.304588,-1.301848,-1.299482,-1.402769,-1.479178,-1.552387,-1.563101,-1.565049,-1.497994
44,"BHS","Bahamas",1.102839,1.157477,1.202225,1.188937,1.032272,0.9845395,0.9425191,1.020234,1.098432,1.121914,1.007146,0.9882097,0.9601085,0.9345739,0.9244487,1.047354,0.9514745,0.8520943,0.8486394,0.7956346
48,"BHR","Bahrain",-0.7187834,-1.065403,-1.05688,-0.5711637,-0.5907056,-0.5615494,-0.7431749,-0.9039665,-0.8565266,-0.8689175,-0.7910007,-0.9659101,-1.217317,-1.318025,-1.317464,-1.311063,-1.313066,-1.372134,-1.386841,-1.405907
50,"BGD","Bangladesh",-0.0584284,-0.0855699,-0.2279245,-0.4322205,-0.5518068,-0.6721458,-0.5699692,-0.4512365,-0.5734999,-0.442117,-0.2890779,-0.2680953,-0.3150689,-0.4019407,-0.4053864,-0.4739298,-0.5120468,-0.5852981,-0.6164584,-0.7284137
52,"BRB","Barbados",1.342969,1.274001,1.264498,1.231309,1.155708,1.104969,0.9491987,1.037203,1.029951,0.9469112,1.127872,1.136577,1.114059,1.132979,1.137358,1.145062,1.096536,1.085731,1.112477,1.12459
112,"BLR","Belarus",-0.8197726,-0.7726958,-1.312422,-1.451897,-1.45855,-1.597364,-1.766817,-1.753809,-1.704454,-1.593318,-1.547589,-1.555038,-1.660208,-1.567181,-1.544429,-1.442872,-1.465078,-1.339494,-1.355587,-1.350769
56,"BEL","Belgium",1.4333,1.342847,1.366504,1.377452,1.47829,1.440266,1.420762,1.342394,1.360771,1.324988,1.346693,1.360687,1.325163,1.349422,1.373046,1.366339,1.38744,1.376962,1.384985,1.397253
84,"BLZ","Belize",0.8242216,0.8816884,0.9758798,0.796831,0.8427915,0.7400724,0.6884291,0.5446808,0.5264921,0.6468703,0.744927,0.6853012,0.6955153,0.6952773,0.7114362,0.5200883,0.5781333,0.5707704,0.5698456,0.4507534
204,"BEN","Benin",0.2592052,0.4259807,0.4129234,0.0508796,0.1876519,0.0530563,-0.0299641,0.3627777,0.368181,0.3446475,0.3425233,0.314489,0.1663906,0.1244855,0.1554964,0.2663023,0.2961209,0.4133146,0.381125,0.2674125
60,"BMU","Bermuda",1.180363,1.16662,0.9393762,1.125524,1.200391,1.134972,1.15323,1.017273,0.9721289,0.9671982,0.9638122,0.9882845,1.009052,1.025672,1.004767,NA,NA,NA,NA,NA
