"code","iso","country","WL5.raw.1997","WL5.raw.1998","WL5.raw.1999","WL5.raw.2000","WL5.raw.2001","WL5.raw.2002","WL5.raw.2003","WL5.raw.2004","WL5.raw.2005","WL5.raw.2006","WL5.raw.2007","WL5.raw.2008","WL5.raw.2009","WL5.raw.2010","WL5.raw.2011","WL5.raw.2012","WL5.raw.2013","WL5.raw.2014","WL5.raw.2015"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",0.09,0.09,0.9,1.17,1.08,1.08,1.71,1.17,0.9,1.08,1.08,0.63,0.45,0.54,0.36,0.36,0.36,0.45,0.36
12,"DZA","Algeria",0.36,0.36,0.45,0.27,0.18,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0
20,"AND","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"AGO","Angola",34.74,63.54,104.85,95.58,85.23,78.3,52.56,15.03,10.62,9.81,9.63,11.16,10.71,12.96,19.8,19.44,16.11,18.54,15.75
660,"AIA","Anguilla",0,0,0,0,0.09,0.18,0.27,0.27,0.27,0.18,0.09,0,0,0,0,0,0,0,0
28,"ATG","Antigua and Barbuda",0.09,0.09,0.09,1.71,1.71,1.89,1.98,3.42,1.8,1.8,1.62,1.8,2.25,2.25,2.25,2.25,1.89,0,0
32,"ARG","Argentina",309.33,413.19,691.38,655.2,830.88,906.93,1029.51,1214.01,1197.63,1139.94,1257.75,1103.31,696.06,1421.28,1379.34,1271.16,1387.35,1679.13,828.9
51,"ARM","Armenia",0,0,0.63,0.63,0.63,1.8,2.25,1.62,1.8,1.8,0.72,0.27,0.45,0.27,0.27,0.18,0.18,0,0
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.18,0.27,0.36,0.45
36,"AUS","Australia",469.89,553.86,766.53,677.97,681.93,566.1,492.84,295.83,166.32,82.62,96.93,110.07,116.82,128.07,160.65,143.91,128.25,125.1,101.88
40,"AUT","Austria",2.61,2.88,3.24,1.71,0.99,0.72,0.54,0.54,0.54,0.54,2.07,4.59,4.95,4.95,4.95,3.42,0.9,0.45,0.45
31,"AZE","Azerbaijan",0.18,0.18,0.18,0.27,0.99,0.81,0.81,0.81,0.72,0,0,0,0,0,0,0,0,0,0
44,"BHS","Bahamas",43.47,50.67,86.85,138.51,186.48,174.15,175.77,160.74,89.01,47.61,50.85,61.2,67.86,68.67,55.35,50.49,31.68,4.68,2.43
48,"BHR","Bahrain",0,0,0,0,0.36,0.36,0.36,0.36,0.36,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",1.62,2.43,4.5,7.29,6.3,5.94,6.48,6.3,3.24,3.24,3.24,1.98,0.54,0.54,1.62,1.71,1.98,3.51,3.51
