"code","iso","country","WTA.raw.1992","WTA.raw.1993","WTA.raw.1994","WTA.raw.1995","WTA.raw.1996","WTA.raw.1997","WTA.raw.1998","WTA.raw.1999","WTA.raw.2000","WTA.raw.2001","WTA.raw.2002","WTA.raw.2003","WTA.raw.2004","WTA.raw.2005","WTA.raw.2006","WTA.raw.2007","WTA.raw.2008","WTA.raw.2009","WTA.raw.2010","WTA.raw.2011","WTA.raw.2012","WTA.raw.2013","WTA.raw.2014","WTA.raw.2015"
4,"AFG","Afghanistan",58.41,58.41,58.41,58.68,59.13,60.03,60.75,60.84,60.93,65.07,70.29,70.38,71.01,71.01,71.01,71.01,71.01,71.01,71.01,71.01,71.01,71.01,71.01,71.01
8,"ALB","Albania",80.64,80.64,80.64,80.64,80.55,81.45,81.81,81.45,81.18,81.18,81.18,80.55,80.28,80.28,80.1,80.1,79.92,79.83,79.74,79.74,79.74,79.56,79.65,79.65
12,"DZA","Algeria",20.7,20.7,20.7,20.52,20.43,20.34,20.34,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.7,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
20,"AND","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"AGO","Angola",7298.64,7298.64,7298.64,7287.93,7275.96,7269.12,7242.03,7212.51,7211.52,7215.66,7218.09,7218,7234.83,7241.31,7247.88,7264.35,7271.73,7285.5,7320.78,7314.84,7316.55,7321.68,7328.43,7328.43
660,"AIA","Anguilla",11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.61,11.52,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43
28,"ATG","Antigua and Barbuda",45.27,45.18,45.18,45.18,45.18,45.18,45.09,45.09,43.47,43.47,43.29,43.11,42.3,42.3,42.3,42.3,41.94,40.05,40.05,40.05,40.05,40.05,40.77,40.77
32,"ARG","Argentina",85058.46,85057.74,85057.2,84952.8,84892.41,84989.07,85456.26,86265.81,88191.9,89749.8,90337.5,91084.23,91300.5,91494.81,91885.86,92236.23,92922.66,93159.72,92535.48,92646.27,92677.14,92540.43,92188.62,92187.9
51,"ARM","Armenia",13.14,13.14,13.14,14.22,14.22,14.22,14.22,13.59,13.59,13.77,12.6,12.15,12.15,11.97,11.97,11.88,11.88,11.7,11.88,11.88,12.15,12.15,12.33,12.33
533,"ABW","Aruba",3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.06,2.97,2.88,2.79,2.7
36,"AUS","Australia",100479.06,100478.25,100477.53,100252.71,100155.24,100019.43,99941.49,99744.93,99638.01,99821.25,99848.07,99923.31,99956.88,99978.75,99998.73,100009.44,100058.49,100113.21,100143.63,100206.54,100204.74,100203.3,100274.67,100274.49
40,"AUT","Austria",126.99,126.99,126.99,125.73,125.01,124.65,126.99,127.98,128.25,128.34,128.7,128.7,129.06,129.06,129.06,127.44,124.83,124.29,124.29,124.29,124.2,124.11,124.47,124.56
31,"AZE","Azerbaijan",33.39,33.39,33.39,33.39,33.39,33.21,33.3,33.3,33.21,32.49,32.49,32.49,32.67,32.67,33.21,33.39,34.2,36.09,36.99,37.53,38.07,39.69,41.94,41.94
44,"BHS","Bahamas",3106.8,3106.8,3106.35,3084.57,3077.55,3063.33,3057.3,3021.39,2949.03,2905.02,2909.07,2900.79,2894.76,2894.31,2886.21,2887.83,2874.24,2846.16,2845.8,2846.97,2846.7,2846.7,2848.77,2848.5
48,"BHR","Bahrain",1.26,1.26,1.26,1.26,1.8,1.8,1.8,1.8,1.8,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
50,"BGD","Bangladesh",357.66,357.66,357.66,358.47,357.48,357.12,356.31,354.24,351.18,351.54,351.72,350.55,351.45,352.35,354.51,359.91,361.89,362.25,363.78,362.7,362.61,362.25,360.27,360.27
52,"BRB","Barbados",2.88,2.88,2.79,2.79,2.7,2.7,2.7,2.61,2.52,2.52,2.25,2.25,2.25,2.16,1.8,1.53,1.35,1.17,1.17,0.9,0.81,0.72,0.72,0.72
112,"BLR","Belarus",401.22,401.13,401.13,412.2,412.38,413.73,413.91,424.62,427.5,427.23,426.33,426.96,426.96,425.7,423.9,422.82,419.13,418.23,418.32,420.3,421.47,421.2,420.3,420.3
56,"BEL","Belgium",97.29,96.93,96.48,95.94,95.94,95.58,95.85,95.67,95.67,96.57,94.41,93.87,96.21,96.12,96.03,101.07,102.87,103.68,110.16,110.07,112.59,112.86,112.68,112.68
84,"BLZ","Belize",152.46,152.46,152.37,125.1,125.01,125.01,124.65,124.47,123.66,121.14,121.14,119.25,118.98,118.53,117.72,115.92,115.65,116.01,115.38,114.3,114.21,114.3,114.21,113.94
204,"BEN","Benin",25.74,25.74,25.74,25.38,25.38,25.38,25.38,24.93,24.84,24.66,26.01,28.26,30.15,30.51,30.87,31.23,33.03,33.21,33.39,33.39,33.39,33.39,33.48,33.48
60,"BMU","Bermuda",8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64
64,"BTN","Bhutan",1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.62,1.62,1.62,1.62,1.89,1.89,1.89
68,"BOL","Bolivia",26462.97,27268.38,27268.29,28042.92,28331.64,28520.28,28729.35,28914.93,29095.83,29138.76,29143.71,29106.9,29694.06,29648.25,29556.81,29435.22,29354.4,29316.78,29176.38,29095.38,29095.29,29036.43,29014.74,29014.65
70,"BIH","Bosnia and Herzegovina",57.24,57.24,57.24,57.69,56.52,56.52,56.52,56.52,57.06,57.24,57.24,57.24,58.77,59.31,59.31,59.22,58.68,58.68,58.68,58.95,58.95,58.95,58.59,58.59
72,"BWA","Botswana",7490.79,7490.79,7490.79,7489.26,7489.89,7491.15,7503.66,7536.24,7548.12,7556.85,7564.86,7586.19,7634.43,7637.13,7638.84,7657.29,7657.29,7645.68,7619.58,7507.71,7475.58,7473.87,7459.56,7459.56
76,"BRA","Brazil",127488.6,130193.73,130190.04,131513.31,132042.51,132588.27,132344.28,133148.07,133424.1,133320.6,133331.31,133651.71,139254.48,139425.3,139629.87,139888.08,140154.84,140289.21,140178.6,140168.16,140197.14,140232.96,140066.91,140064.3
92,"VGB","British Virgin Islands",27.36,27.36,27.36,25.38,25.38,25.38,25.38,25.38,25.29,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.21,24.21,24.03,24.03,24.03
96,"BRN","Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"BGR","Bulgaria",118.26,118.26,118.26,118.62,118.62,118.62,118.62,115.92,115.47,115.83,115.11,115.11,114.21,114.03,114.21,115.29,115.38,116.01,116.19,115.92,115.92,114.75,114.84,114.84
854,"BFA","Burkina Faso",281.34,281.25,281.25,281.25,281.43,281.34,281.7,282.42,284.58,284.85,285.21,284.76,284.76,285.57,286.02,286.02,286.02,286.2,286.74,287.37,287.1,287.28,285.03,285.03
108,"BDI","Burundi",247.05,247.05,247.05,249.03,249.12,250.65,251.91,253.26,253.17,252.18,251.82,251.55,251.46,251.28,251.37,252.54,252.36,252.45,252.27,249.75,249.48,249.3,249.48,249.48
132,"CPV","Cabo Verde",0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
116,"KHM","Cambodia",4712.85,4712.85,4712.85,4718.16,4718.25,4732.2,4787.19,4947.12,5375.7,5468.31,5586.03,5655.15,6024.78,6142.68,6240.87,6350.94,6413.22,6421.5,6543.45,6611.85,6612.75,6615.54,6614.55,6614.55
120,"CMR","Cameroon",1741.86,1741.86,1741.86,1746.9,1743.03,1767.87,1777.23,1777.68,1781.37,1779.48,1782.99,1777.95,1773.9,1768.68,1790.19,1793.88,1804.86,1813.95,1818.99,1829.25,1835.19,1835.55,1812.87,1812.87
